R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
46,1,papua,papua,pltmg_timika_2,gas,10,0,2022,Plan,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
47,1,papua,papua,plts_timika,solar,10,0,2025,Plan,PLN,,1,560000,0,0,10000,0,0,10,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
48,1,papua,papua,pltmg_timika_3,gas,20,0,2026,Plan,PLN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
49,1,papua,papua,pltm_cascade_walesi,hydropower,6,0,2024,Plan,PLN,,1,2200000,0,0,40200,0,0.48,6,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
50,1,papua,papua,pltm_uwe,hydropower,1.5,0,2024,Plan,PLN,,1,2200000,0,0,40200,0,0.48,1.5,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
51,1,papua,papua,pltm_walesi_blok_2,hydropower,3.8,0,2026,Plan,PLN,,1,2200000,0,0,40200,0,0.48,3.8,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
52,1,papua,papua,plta_baliem,hydropower,10,0,2029,Plan,PLN,,1,2200000,0,0,40200,0,0.48,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
53,1,papua,papua,papua_solar_potential_ruen,solar,2035,0,,,,,1,560000,0,0,10000,0,0,2035,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
54,1,papua,papua,papua_wind_potential_ruen,wind,1411,0,,,,,1,1280000,0,0,51000,0,0,1411,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
55,1,papua,papua,papua_hydropower_potential_ruen,hydropower,22371,0,,,,,1,2200000,0,0,40200,0,0.48,22371,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
56,1,papua,papua,papua_hydropower_mini_potential_ruen,hydropower_mini,615,0,,,,,1,2200000,0,0,40200,0,0.48,615,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
57,1,papua,papua,papua_biomass_potential_ruen,biomass,81.4,0,,,,,1,1820000,0,0,43800,0,2.8,81.4,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1,,,,
58,1,papua,papua,papua_biogas_potential_ruen,biogas,15.1,0,,,,,1,2150000,0,0,89200,0,0.1,15.1,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,,
59,2,papua,west_papua,pltd_sorong,diesel,6.6,0,,,,,1,800000,0,0,8000,0,6,6.6,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0,,,,
60,2,papua,west_papua,pltg_sorong,gas,50,0,,,,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
61,2,papua,west_papua,pltmg_manokawari_2,gas,20,0,,,,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
62,2,papua,west_papua,pltmg_bintuni,gas,10,0,2023,Plan,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
63,2,papua,west_papua,pltmg_mpp_fak_fak,gas,10,0,2022,Procuement,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
