r_id,amamapare_port_power_station_unit_1,amamapare_port_power_station_unit_2,amamapare_port_power_station_unit_3,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,bp_berau_ltd,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_wind,amamapare_port_power_station_battery,bp_berau_ltd_battery
95,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.044,1,1
96,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.038,1,1
97,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.035,1,1
98,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.034,1,1
99,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.033,1,1
100,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.041,1,1
101,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.049,1,1
102,1,1,1,0.018,0.018,0.018,0.018,0.018,1,0.011,0.011,0.011,0.011,0.011,0.049,1,1
103,1,1,1,0.076,0.076,0.076,0.076,0.076,1,0.097,0.097,0.097,0.097,0.097,0.014,1,1
104,1,1,1,0.148,0.148,0.148,0.148,0.148,1,0.206,0.206,0.206,0.206,0.206,0.001,1,1
105,1,1,1,0.216,0.216,0.216,0.216,0.216,1,0.296,0.296,0.296,0.296,0.296,0.001,1,1
106,1,1,1,0.281,0.281,0.281,0.281,0.281,1,0.335,0.335,0.335,0.335,0.335,0,1,1
107,1,1,1,0.3,0.3,0.3,0.3,0.3,1,0.349,0.349,0.349,0.349,0.349,0,1,1
108,1,1,1,0.262,0.262,0.262,0.262,0.262,1,0.336,0.336,0.336,0.336,0.336,0,1,1
109,1,1,1,0.218,0.218,0.218,0.218,0.218,1,0.3,0.3,0.3,0.3,0.3,0,1,1
110,1,1,1,0.148,0.148,0.148,0.148,0.148,1,0.242,0.242,0.242,0.242,0.242,0,1,1
111,1,1,1,0.084,0.084,0.084,0.084,0.084,1,0.165,0.165,0.165,0.165,0.165,0,1,1
112,1,1,1,0.028,0.028,0.028,0.028,0.028,1,0.078,0.078,0.078,0.078,0.078,0,1,1
113,1,1,1,0,0,0,0,0,1,0.012,0.012,0.012,0.012,0.012,0,1,1
114,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.001,1,1
115,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
116,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
117,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.003,1,1
118,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.029,1,1
119,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.05,1,1
120,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.049,1,1
121,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.049,1,1
122,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.048,1,1
123,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.044,1,1
124,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.043,1,1
125,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.043,1,1
126,1,1,1,0.011,0.011,0.011,0.011,0.011,1,0.021,0.021,0.021,0.021,0.021,0.038,1,1
127,1,1,1,0.062,0.062,0.062,0.062,0.062,1,0.129,0.129,0.129,0.129,0.129,0.005,1,1
128,1,1,1,0.19,0.19,0.19,0.19,0.19,1,0.252,0.252,0.252,0.252,0.252,0,1,1
129,1,1,1,0.305,0.305,0.305,0.305,0.305,1,0.345,0.345,0.345,0.345,0.345,0,1,1
130,1,1,1,0.393,0.393,0.393,0.393,0.393,1,0.387,0.387,0.387,0.387,0.387,0,1,1
131,1,1,1,0.395,0.395,0.395,0.395,0.395,1,0.393,0.393,0.393,0.393,0.393,0,1,1
132,1,1,1,0.288,0.288,0.288,0.288,0.288,1,0.384,0.384,0.384,0.384,0.384,0,1,1
133,1,1,1,0.219,0.219,0.219,0.219,0.219,1,0.345,0.345,0.345,0.345,0.345,0,1,1
134,1,1,1,0.148,0.148,0.148,0.148,0.148,1,0.258,0.258,0.258,0.258,0.258,0,1,1
135,1,1,1,0.079,0.079,0.079,0.079,0.079,1,0.168,0.168,0.168,0.168,0.168,0,1,1
136,1,1,1,0.028,0.028,0.028,0.028,0.028,1,0.075,0.075,0.075,0.075,0.075,0,1,1
137,1,1,1,0,0,0,0,0,1,0.014,0.014,0.014,0.014,0.014,0,1,1
138,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.001,1,1
139,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.005,1,1
140,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.006,1,1
141,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.009,1,1
142,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.015,1,1
143,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.025,1,1
144,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.021,1,1
145,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.015,1,1
146,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.016,1,1
147,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.017,1,1
148,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.019,1,1
149,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.018,1,1
150,1,1,1,0.07,0.07,0.07,0.07,0.07,1,0.005,0.005,0.005,0.005,0.005,0.017,1,1
151,1,1,1,0.259,0.259,0.259,0.259,0.259,1,0.06,0.06,0.06,0.06,0.06,0.01,1,1
152,1,1,1,0.476,0.476,0.476,0.476,0.476,1,0.135,0.135,0.135,0.135,0.135,0.005,1,1
153,1,1,1,0.6,0.6,0.6,0.6,0.6,1,0.208,0.208,0.208,0.208,0.208,0.005,1,1
154,1,1,1,0.687,0.687,0.687,0.687,0.687,1,0.266,0.266,0.266,0.266,0.266,0.01,1,1
155,1,1,1,0.693,0.693,0.693,0.693,0.693,1,0.305,0.305,0.305,0.305,0.305,0.011,1,1
156,1,1,1,0.615,0.615,0.615,0.615,0.615,1,0.318,0.318,0.318,0.318,0.318,0.019,1,1
157,1,1,1,0.513,0.513,0.513,0.513,0.513,1,0.299,0.299,0.299,0.299,0.299,0.024,1,1
158,1,1,1,0.354,0.354,0.354,0.354,0.354,1,0.249,0.249,0.249,0.249,0.249,0.026,1,1
159,1,1,1,0.147,0.147,0.147,0.147,0.147,1,0.16,0.16,0.16,0.16,0.16,0.023,1,1
160,1,1,1,0.051,0.051,0.051,0.051,0.051,1,0.081,0.081,0.081,0.081,0.081,0.018,1,1
161,1,1,1,0.002,0.002,0.002,0.002,0.002,1,0.015,0.015,0.015,0.015,0.015,0.026,1,1
162,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.047,1,1
163,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.053,1,1
164,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.054,1,1
165,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.058,1,1
166,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.059,1,1
167,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.059,1,1
168,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.055,1,1
169,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.015,1,1
170,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.017,1,1
171,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.003,1,1
172,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
173,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
174,1,1,1,0.033,0.033,0.033,0.033,0.033,1,0.01,0.01,0.01,0.01,0.01,0,1,1
175,1,1,1,0.102,0.102,0.102,0.102,0.102,1,0.066,0.066,0.066,0.066,0.066,0,1,1
176,1,1,1,0.188,0.188,0.188,0.188,0.188,1,0.158,0.158,0.158,0.158,0.158,0,1,1
177,1,1,1,0.265,0.265,0.265,0.265,0.265,1,0.26,0.26,0.26,0.26,0.26,0,1,1
178,1,1,1,0.325,0.325,0.325,0.325,0.325,1,0.305,0.305,0.305,0.305,0.305,0,1,1
179,1,1,1,0.335,0.335,0.335,0.335,0.335,1,0.31,0.31,0.31,0.31,0.31,0,1,1
180,1,1,1,0.339,0.339,0.339,0.339,0.339,1,0.306,0.306,0.306,0.306,0.306,0,1,1
