R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
11,1,nusa_tenggara,west_nusa_tenggara,pltmg_sumbawa,gas,50,0,,,,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
12,1,nusa_tenggara,west_nusa_tenggara,pltd_bima,diesel,7.8,0,,,,,1,800000,0,0,8000,0,6,7.8,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
13,1,nusa_tenggara,west_nusa_tenggara,pltu_sumbawa_barat,coal,7,0,,,,,-1,1600000,0,0,43900,0,0.12,7,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
14,1,nusa_tenggara,west_nusa_tenggara,pltmg_bima,gas,50,0,,,,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
15,1,nusa_tenggara,west_nusa_tenggara,pltd_taliwang,diesel,5.3,0,,,,,1,800000,0,0,8000,0,6,5.3,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
16,1,nusa_tenggara,west_nusa_tenggara,pltmg_lombok_peaker,gas,10,0,2021,Construction,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
17,1,nusa_tenggara,west_nusa_tenggara,pltm_sedau_kumbi,hydropower,30,0,2021,Construction,IPP,,1,2200000,0,0,40200,0,0.48,30,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
18,1,nusa_tenggara,west_nusa_tenggara,pltu_lombok_ftp2,coal,100,0,2021/22,Construction,PLN,,-1,1360000,0,0,40000,0,0.12,100,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0
19,1,nusa_tenggara,west_nusa_tenggara,plts_lunyuk_kuota_tersebar,solar,2,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,2,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
20,1,nusa_tenggara,west_nusa_tenggara,plts_medang,solar,0.3,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,0.3,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
21,1,nusa_tenggara,west_nusa_tenggara,plts_dedieselisasi,solar,8.4,0,2023,Plan,IPP,,1,560000,0,0,10000,0,0,8.4,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
22,1,nusa_tenggara,west_nusa_tenggara,pltmg_sumbawa_2,gas,30,0,2022,Procurement,PLN,,1,730000,0,0,22500,0,2.23,30,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
23,1,nusa_tenggara,west_nusa_tenggara,pltm_koko_babak,hydropower,2.3,0,2023,Funding,IPP,,1,2200000,0,0,40200,0,0.48,2.3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
24,1,nusa_tenggara,west_nusa_tenggara,plts_sumbawa_bima_kuota_tersebar,solar,10,0,2023,Plan,IPP,,1,560000,0,0,10000,0,0,10,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
25,1,nusa_tenggara,west_nusa_tenggara,pltm_lombok_kuota_tersebar,hydropower,1.75,0,2024,Plan,IPP,,1,2200000,0,0,40200,0,0.48,1.75,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
26,1,nusa_tenggara,west_nusa_tenggara,plts_lunyuk_kuota_tersebar,solar,2,0,2024,Plan,PLN,,1,560000,0,0,10000,0,0,2,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
27,1,nusa_tenggara,west_nusa_tenggara,pltbm_sumbawa_bima_kuota_tersebar,biomass,10,0,2024,Plan,IPP,,1,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1
28,1,nusa_tenggara,west_nusa_tenggara,pltm_lombok_kuota_tersebar,hydropower,4.58,0,2025,Plan,IPP,,1,2200000,0,0,40200,0,0.48,4.58,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
29,1,nusa_tenggara,west_nusa_tenggara,pltm_sumbawa_bima_kuota_tersebar,hydropower,2.54,0,2025,Plan,IPP,,1,2200000,0,0,40200,0,0.48,2.54,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
30,1,nusa_tenggara,west_nusa_tenggara,pltm_sumbawa_bima_kuota_tersebar,hydropower,7,0,2025,Plan,IPP,,1,2200000,0,0,40200,0,0.48,7,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
31,1,nusa_tenggara,west_nusa_tenggara,pltm_sumbawa_bima_kuota_tersebar,hydropower,3.84,0,2025,Plan,IPP,,1,2200000,0,0,40200,0,0.48,3.84,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
32,1,nusa_tenggara,west_nusa_tenggara,pltmg_bima_2,gas,30,0,2027,Plan,PLN,,1,730000,0,0,22500,0,2.23,30,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
33,1,nusa_tenggara,west_nusa_tenggara,plts_lunyuk_kuota_tersebar,solar,2,0,2028,Plan,PLN,,1,560000,0,0,10000,0,0,2,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
34,1,nusa_tenggara,west_nusa_tenggara,pltu_bima_ftp1,coal,20,0,2029,Construction,PLN,,-1,1600000,0,0,43900,0,0.12,20,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
35,1,nusa_tenggara,west_nusa_tenggara,pltp_sumbawa_bima_kuota_tersebar,geothermal,10,0,2029,Plan,PLN,,1,3440000,0,0,43000,0,0.22,10,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
36,1,nusa_tenggara,west_nusa_tenggara,pltmg_lombok_2,gas,100,0,2024/25,Plan,PLN,,1,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
37,1,nusa_tenggara,west_nusa_tenggara,pltmg_sumbawa_3,gas,100,0,2024/25,Plan,PLN,,1,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
38,1,nusa_tenggara,west_nusa_tenggara,plt_ebt_base_lombok_3,gas,100,0,2026/27,Plan,PLN,,1,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
39,1,nusa_tenggara,west_nusa_tenggara,plt_ebt_base_lombok_4,gas,100,0,2028/29,Plan,PLN,,1,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
40,1,nusa_tenggara,west_nusa_tenggara,west_nusa_tenggara_solar_potential_ruen,solar,9931,0,,,,,1,560000,0,0,10000,0,0,9931,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
41,1,nusa_tenggara,west_nusa_tenggara,west_nusa_tenggara_wind_potential_ruen,wind,2605,0,,,,,1,1280000,0,0,51000,0,0,2605,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
42,1,nusa_tenggara,west_nusa_tenggara,west_nusa_tenggara_geothermal_potential_ruen,geothermal,169,0,,,,,1,3440000,0,0,43000,0,0.22,169,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
43,1,nusa_tenggara,west_nusa_tenggara,west_nusa_tenggara_hydropower_potential_ruen,hydropower,208,0,,,,,1,2200000,0,0,40200,0,0.48,208,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
44,1,nusa_tenggara,west_nusa_tenggara,west_nusa_tenggara_hydropower_mini_potential_ruen,hydropower_mini,31,0,,,,,1,2200000,0,0,40200,0,0.48,31,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
45,1,nusa_tenggara,west_nusa_tenggara,west_nusa_tenggara_biomass_potential_ruen,biomass,341.3,0,,,,,1,1820000,0,0,43800,0,2.8,341.3,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1
46,1,nusa_tenggara,west_nusa_tenggara,west_nusa_tenggara_biogas_potential_ruen,biogas,52.8,0,,,,,1,2150000,0,0,89200,0,0.1,52.8,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1
47,2,nusa_tenggara,east_nusa_tenggara,pltd_kefamenanu,diesel,10,0,,,,,1,800000,0,0,8000,0,6,10,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
48,2,nusa_tenggara,east_nusa_tenggara,pltu_kupang_ftp1,coal,33,0,,,,,-1,1600000,0,0,43900,0,0.12,33,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
49,2,nusa_tenggara,east_nusa_tenggara,pltmg_kupang_peaker,gas,40,0,,,,,1,730000,0,0,22500,0,2.23,40,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
50,2,nusa_tenggara,east_nusa_tenggara,pltd_labuhan_bajo,diesel,10,0,,,,,1,800000,0,0,8000,0,6,10,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
51,2,nusa_tenggara,east_nusa_tenggara,mpp_flores_labuan_bajo,gas,20,0,,,,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
52,2,nusa_tenggara,east_nusa_tenggara,pltd_ruteng,diesel,10,0,,,,,1,800000,0,0,8000,0,6,10,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
53,2,nusa_tenggara,east_nusa_tenggara,pltu_ende_ftp1,coal,7,0,,,,,-1,1600000,0,0,43900,0,0.12,7,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
54,2,nusa_tenggara,east_nusa_tenggara,pltp_ulumbu_adb,geothermal,5,0,,,,,1,3440000,0,0,43000,0,0.22,5,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
55,2,nusa_tenggara,east_nusa_tenggara,pltd_bajawa,diesel,10,0,,,,,1,800000,0,0,8000,0,6,10,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0
56,2,nusa_tenggara,east_nusa_tenggara,pltmg_maumere,gas,40,0,,,,,1,730000,0,0,22500,0,2.23,40,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
57,2,nusa_tenggara,east_nusa_tenggara,pltmg_alor,gas,10,0,2021,Construction,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
58,2,nusa_tenggara,east_nusa_tenggara,plts_lisdes_ntt,solar,2.37,0,2021,Construction,PLN,,1,560000,0,0,10000,0,0,2.37,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
59,2,nusa_tenggara,east_nusa_tenggara,pltp_sokoria,geothermal,5,0,2021,Construction,IPP,,1,3440000,0,0,43000,0,0.22,5,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
60,2,nusa_tenggara,east_nusa_tenggara,pltbm_sumba_kuota_tersebar,biomass,1,0,2021,Construction,IPP,,1,1820000,0,0,43800,0,2.8,1,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1
61,2,nusa_tenggara,east_nusa_tenggara,pltm_sumba_kuota_tersebar,hydropower,1.6,0,2021,Plan,IPP,,1,2200000,0,0,40200,0,0.48,1.6,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
62,2,nusa_tenggara,east_nusa_tenggara,pltmg_waingapu,gas,10,0,2021,Construction,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
63,2,nusa_tenggara,east_nusa_tenggara,plts_adonara,solar,1,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,1,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
64,2,nusa_tenggara,east_nusa_tenggara,plts_adonara,solar,4,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,4,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
65,2,nusa_tenggara,east_nusa_tenggara,plts_alor_kalabahi,solar,1.2,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,1.2,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
66,2,nusa_tenggara,east_nusa_tenggara,plts_betun,solar,0.6,0,2022,Plan,IPP,,1,560000,0,0,10000,0,0,0.6,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
67,2,nusa_tenggara,east_nusa_tenggara,pltmg_waingapu_2,gas,10,0,2022,Plan,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
68,2,nusa_tenggara,east_nusa_tenggara,plts_flores,solar,30,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,30,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
69,2,nusa_tenggara,east_nusa_tenggara,plts_lembata,solar,3,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,3,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
70,2,nusa_tenggara,east_nusa_tenggara,pltb_maubesi,wind,2,0,2022,Plan,PLN,,1,1280000,0,0,51000,0,0,2,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
71,2,nusa_tenggara,east_nusa_tenggara,plts_reep_1_tersebar,solar,4.36,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,4.36,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
72,2,nusa_tenggara,east_nusa_tenggara,plts_rote,solar,1.2,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,1.2,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
73,2,nusa_tenggara,east_nusa_tenggara,plts_rote,solar,2,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,2,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
