R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
114,2,nusa_tenggara,east_nusa_tenggara,east_nusa_tenggara_wind_potential_ruen,wind,10188,0,,,,,1,1280000,0,0,51000,0,0,10188,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
115,2,nusa_tenggara,east_nusa_tenggara,east_nusa_tenggara_geothermal_potential_ruen,geothermal,748,0,,,,,1,3440000,0,0,43000,0,0.22,748,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
116,2,nusa_tenggara,east_nusa_tenggara,east_nusa_tenggara_hydropower_potential_ruen,hydropower,208,0,,,,,1,2200000,0,0,40200,0,0.48,208,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
117,2,nusa_tenggara,east_nusa_tenggara,east_nusa_tenggara_hydropower_mini_potential_ruen,hydropower_mini,95,0,,,,,1,2200000,0,0,40200,0,0.48,95,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
118,2,nusa_tenggara,east_nusa_tenggara,east_nusa_tenggara_biomass_potential_ruen,biomass,192.5,0,,,,,1,1820000,0,0,43800,0,2.8,192.5,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1
119,2,nusa_tenggara,east_nusa_tenggara,east_nusa_tenggara_biogas_potential_ruen,biogas,48,0,,,,,1,2150000,0,0,89200,0,0.1,48,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1
120,1,nusa_tenggara,west_nusa_tenggara,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
121,1,nusa_tenggara,west_nusa_tenggara,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
122,1,nusa_tenggara,west_nusa_tenggara,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
123,1,nusa_tenggara,west_nusa_tenggara,gas_candidate_4,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
124,1,nusa_tenggara,west_nusa_tenggara,ccgt_candidate_1,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
125,1,nusa_tenggara,west_nusa_tenggara,ccgt_candidate_2,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
126,1,nusa_tenggara,west_nusa_tenggara,ccgt_candidate_3,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
127,1,nusa_tenggara,west_nusa_tenggara,ccgt_candidate_4,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
128,1,nusa_tenggara,west_nusa_tenggara,diesel_candidate_1,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
129,1,nusa_tenggara,west_nusa_tenggara,diesel_candidate_2,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
130,1,nusa_tenggara,west_nusa_tenggara,diesel_candidate_3,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
131,1,nusa_tenggara,west_nusa_tenggara,diesel_candidate_4,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
132,2,nusa_tenggara,east_nusa_tenggara,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
133,2,nusa_tenggara,east_nusa_tenggara,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
134,2,nusa_tenggara,east_nusa_tenggara,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
135,2,nusa_tenggara,east_nusa_tenggara,gas_candidate_4,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
136,2,nusa_tenggara,east_nusa_tenggara,ccgt_candidate_1,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
137,2,nusa_tenggara,east_nusa_tenggara,ccgt_candidate_2,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
138,2,nusa_tenggara,east_nusa_tenggara,ccgt_candidate_3,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
139,2,nusa_tenggara,east_nusa_tenggara,ccgt_candidate_4,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
140,2,nusa_tenggara,east_nusa_tenggara,diesel_candidate_1,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
141,2,nusa_tenggara,east_nusa_tenggara,diesel_candidate_2,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
142,2,nusa_tenggara,east_nusa_tenggara,diesel_candidate_3,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
143,2,nusa_tenggara,east_nusa_tenggara,diesel_candidate_4,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
144,1,nusa_tenggara,west_nusa_tenggara,battery_candidate,battery,100,208,,candidate,,,1,0,578000,0,0,621,2.3,100,0,0,1,2,0,0,0,None,1,1,0.92,0.92,0,0,1,0
145,2,nusa_tenggara,east_nusa_tenggara,battery_candidate,battery,100,208,,candidate,,,1,0,578000,0,0,621,2.3,100,0,0,1,2,0,0,0,None,1,1,0.92,0.92,0,0,1,0
