R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
37,2,jawa_bali,banten,4,dss_serang_power_station_unit_3,,coal_captive,35,0,operating,2004,,pulp_paper,,_,pt_dian_swastatika_sentosa_tbk,sinar_mas_group_599,indonesia,,,,,no,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,4,-1,1600000,0,0,43900,0,0.12,35,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
38,2,jawa_bali,banten,4,dss_serang_power_station_unit_4,,coal_captive,70,0,operating,2004,,pulp_paper,,,pt_dian_swastatika_sentosa_tbk,sinar_mas_group_599,indonesia,,,,,no,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,4,-1,1600000,0,0,43900,0,0.12,70,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
39,2,jawa_bali,banten,4,dss_serang_power_station_geothermal,,geothermal,6042.848192,0,,,,,,,,,,,,,,,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,1.5,1,3440000,0,0,43000,0,0.22,6042.848192,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
40,2,jawa_bali,banten,4,dss_serang_power_station_geothermal,,geothermal,2683.228819,0,,,,,,,,,,,,,,,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,2,1,3440000,0,0,43000,0,0.22,2683.228819,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
41,2,jawa_bali,banten,4,dss_serang_power_station_geothermal,,geothermal,2627.982416,0,,,,,,,,,,,,,,,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,2.5,1,3440000,0,0,43000,0,0.22,2627.982416,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
42,2,jawa_bali,banten,4,dss_serang_power_station_geothermal,,geothermal,1270.109778,0,,,,,,,,,,,,,,,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,3,1,3440000,0,0,43000,0,0.22,1270.109778,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
43,2,jawa_bali,banten,4,dss_serang_power_station_solar,,solar,14401.86744,0,,,,,,,,,,,,,,,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,1.5,1,560000,0,0,10000,0,0,14401.86744,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
44,2,jawa_bali,banten,4,dss_serang_power_station_solar,,solar,6439.749167,0,,,,,,,,,,,,,,,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,2,1,560000,0,0,10000,0,0,6439.749167,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
45,2,jawa_bali,banten,4,dss_serang_power_station_solar,,solar,414.526139,0,,,,,,,,,,,,,,,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,2.5,1,560000,0,0,10000,0,0,414.526139,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
46,2,jawa_bali,banten,4,dss_serang_power_station_solar,,solar,3048.263467,0,,,,,,,,,,,,,,,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,3,1,560000,0,0,10000,0,0,3048.263467,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
47,2,jawa_bali,banten,5,pt_indocoke_industry,pltu_indocoke_industry,coal_captive,15,0,operating,2013,,coke,,,pt_indocoke_industry,pt_indocoke_industry,indonesia,,,,,karakatau_industrial_park,,,,,-6.036557,105.96053,,,4,-1,1600000,0,0,43900,0,0.12,15,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
48,2,jawa_bali,banten,5,pt_indocoke_industry_geothermal,,geothermal,363.444426,0,,,,,,,,,,,,,,,,,,,,,,,1,1,3440000,0,0,43000,0,0.22,363.444426,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
49,2,jawa_bali,banten,5,pt_indocoke_industry_geothermal,,geothermal,5652.753533,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,3440000,0,0,43000,0,0.22,5652.753533,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
50,2,jawa_bali,banten,5,pt_indocoke_industry_geothermal,,geothermal,342.41342,0,,,,,,,,,,,,,,,,,,,,,,,2,1,3440000,0,0,43000,0,0.22,342.41342,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
51,2,jawa_bali,banten,5,pt_indocoke_industry_geothermal,,geothermal,401.715956,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,3440000,0,0,43000,0,0.22,401.715956,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
52,2,jawa_bali,banten,5,pt_indocoke_industry_geothermal,,geothermal,439.986712,0,,,,,,,,,,,,,,,,,,,,,,,3,1,3440000,0,0,43000,0,0.22,439.986712,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
53,2,jawa_bali,banten,5,pt_indocoke_industry_solar,,solar,344.376764,0,,,,,,,,,,,,,,,,,,,,,,,1,1,560000,0,0,10000,0,0,344.376764,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
54,2,jawa_bali,banten,5,pt_indocoke_industry_solar,,solar,10334.91637,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,560000,0,0,10000,0,0,10334.91637,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
