R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
313,7,jawa_bali,bali,bali_biomass_potential_ruen,biomass,147,0,,potential,,,1,1820000,0,0,43800,0,2.8,1,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,,,,1,
314,1,jawa_bali,dki_jakarta,dki_jakarta_biogas_potential_ruen,biogas,126,0,,potential,,,1,2150000,0,0,89200,0,0.1,3,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,,,,1,
315,2,jawa_bali,banten,banten_biogas_potential_ruen,biogas,119,0,,potential,,,1,2150000,0,0,89200,0,0.1,1,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,,,,1,
316,3,jawa_bali,west_jawa,west_jawa_biogas_potential_ruen,biogas,574,0,,potential,,,1,2150000,0,0,89200,0,0.1,3,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,,,,1,
317,4,jawa_bali,central_jawa,central_jawa_biogas_potential_ruen,biogas,348,0,,potential,,,1,2150000,0,0,89200,0,0.1,37,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,,,,1,
318,5,jawa_bali,yogyakarta,yogyakarta_biogas_potential_ruen,biogas,41,0,,potential,,,1,2150000,0,0,89200,0,0.1,115,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,,,,1,
319,6,jawa_bali,east_jawa,east_jawa_biogas_potential_ruen,biogas,570,0,,potential,,,1,2150000,0,0,89200,0,0.1,37,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,,,,1,
320,7,jawa_bali,bali,bali_biogas_potential_ruen,biogas,45,0,,potential,,,1,2150000,0,0,89200,0,0.1,5,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,,,,1,
321,1,jawa_bali,dki_jakarta,dki_jakarta_solar_potential_ruen,solar,225,0,,potential,,,1,560000,0,0,10000,0,0,50,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
322,2,jawa_bali,banten,banten_solar_potential_ruen,solar,2461,0,,potential,,,1,560000,0,0,10000,0,0,50,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
323,3,jawa_bali,west_jawa,west_jawa_solar_potential_ruen,solar,9099,0,,potential,,,1,560000,0,0,10000,0,0,50,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
324,4,jawa_bali,central_jawa,central_jawa_solar_potential_ruen,solar,8753,0,,potential,,,1,560000,0,0,10000,0,0,50,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
325,5,jawa_bali,yogyakarta,yogyakarta_solar_potential_ruen,solar,996,0,,potential,,,1,560000,0,0,10000,0,0,50,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
