# developable solar land per village, derived from usable_land_ntt.shp
# region=Kupang|Kota Kupang|Timor Tengah Selatan|Timor Tengah Utara|Belu excluded_classes=Settlement Area mwp_per_km2=50 max_radius_km=10
# nearest-village allocation; land beyond the radius (0.0 km²) is not attributed to any village
Village,developable_km2,developable_MW,source
334,3.2776,163.88,sited
335,0.0,233.6,fallback
336,7.4707,373.53,sited
337,5.2847,264.24,sited
338,0.0,233.6,fallback
339,2.4177,120.88,sited
340,8.7031,435.16,sited
341,5.5239,276.19,sited
342,0.0,233.6,fallback
343,6.8081,340.41,sited
344,8.8172,440.86,sited
345,4.7415,237.08,sited
346,6.354,317.7,sited
347,6.6204,331.02,sited
348,7.574,378.7,sited
349,9.2413,462.06,sited
350,7.0686,353.43,sited
351,5.3241,266.2,sited
352,0.0,233.6,fallback
353,6.1354,306.77,sited
354,0.0,233.6,fallback
355,0.0,233.6,fallback
356,6.9734,348.67,sited
357,0.0,233.6,fallback
358,3.5438,177.19,sited
359,5.1378,256.89,sited
360,6.455,322.75,sited
361,3.8064,190.32,sited
362,2.6148,130.74,sited
363,2.9788,148.94,sited
364,2.6665,133.33,sited
365,0.0,233.6,fallback
366,3.5732,178.66,sited
367,2.6658,133.29,sited
368,2.793,139.65,sited
369,2.4452,122.26,sited
370,2.9798,148.99,sited
371,4.494,224.7,sited
372,6.9806,349.03,sited
373,2.9615,148.07,sited
374,8.8494,442.47,sited
375,0.0,233.6,fallback
376,3.4109,170.55,sited
377,0.0,233.6,fallback
378,1.5413,77.06,sited
379,1.1239,56.19,sited
380,1.5707,78.54,sited
381,0.7413,37.06,sited
382,1.6005,80.02,sited
383,0.717,35.85,sited
384,0.4555,22.77,sited
385,1.6634,83.17,sited
386,0.0,233.6,fallback
387,2.7546,137.73,sited
388,2.6004,130.02,sited
389,2.1432,107.16,sited
390,1.6995,84.98,sited
391,2.6836,134.18,sited
392,1.9464,97.32,sited
393,6.3467,317.33,sited
394,4.4029,220.15,sited
395,4.8538,242.69,sited
396,5.8626,293.13,sited
397,0.0,233.6,fallback
398,2.6312,131.56,sited
399,1.9799,98.99,sited
400,0.0,233.6,fallback
401,2.1468,107.34,sited
402,2.0824,104.12,sited
403,2.1803,109.02,sited
404,1.6384,81.92,sited
405,3.9924,199.62,sited
406,0.0,233.6,fallback
407,0.0,233.6,fallback
408,0.0,233.6,fallback
409,2.5778,128.89,sited
410,0.0,233.6,fallback
411,3.1483,157.41,sited
412,2.5107,125.54,sited
413,4.7453,237.27,sited
414,3.0809,154.05,sited
415,0.0,233.6,fallback
416,0.0,233.6,fallback
417,0.0,233.6,fallback
418,0.0,233.6,fallback
419,0.1864,9.32,sited
420,0.1016,5.08,sited
421,0.1193,5.96,sited
422,0.1864,9.32,sited
423,3.4376,171.88,sited
424,1.8539,92.7,sited
425,0.1337,6.68,sited
426,0.3877,19.39,sited
427,0.1484,7.42,sited
428,0.6883,34.41,sited
429,0.1051,5.25,sited
430,2.6459,132.29,sited
431,1.7524,87.62,sited
432,0.1477,7.38,sited
433,0.0,233.6,fallback
434,0.0568,2.84,sited
435,0.6316,31.58,sited
436,0.4809,24.05,sited
437,0.3287,16.44,sited
438,0.0,233.6,fallback
439,0.1829,9.14,sited
440,1.0109,50.54,sited
441,0.0,233.6,fallback
442,0.0,233.6,fallback
443,2.6214,131.07,sited
