Village,kabupaten,kecamatan,desa,archetype,households,ghi,ghi_matched,lat,lon,annual_kwh,peak_mw,diesel_mw
84,KUPANG,ALAK,FATUFETO,trade,1568,5.651,False,,,1945888,0.43914,0.4831
85,KUPANG,ALAK,MANTASI,trade,240,5.651,False,,,297840,0.06722,0.0739
86,KUPANG,ALAK,MANULAI II,trade,1519,5.651,False,,,1885079,0.42542,0.468
87,KUPANG,ALAK,MANUTAPEN,trade,1389,5.651,False,,,1723749,0.38901,0.4279
88,KUPANG,ALAK,NAIONI,rice,642,5.651,False,,,796722,0.1798,0.1978
89,KUPANG,ALAK,NAMOSAIN,trade,3060,5.651,False,,,3797460,0.857,0.9427
90,KUPANG,ALAK,NUNBAUN DELHA,trade,981,5.651,False,,,1217421,0.27474,0.3022
91,KUPANG,ALAK,NUNBAUN SABU,trade,929,5.651,False,,,1152889,0.26018,0.2862
92,KUPANG,ALAK,NUNHILA,trade,783,5.651,False,,,971703,0.21929,0.2412
93,KUPANG,ALAK,PENKASE-OELETA,trade,3500,5.651,False,,,4343500,0.98023,1.0783
94,KUPANG,AMABI OEFETO,FATUKNUTU,rice,514,5.651,False,,,637874,0.14395,0.1583
95,KUPANG,AMABI OEFETO,FATUTETA,rice,172,5.7935,True,-10.13472199975404,123.8554211998816,213452,0.04817,0.053
96,KUPANG,AMABI OEFETO,KAIRANE,rice,176,5.7537,True,-10.15597896768101,123.9484721185155,218416,0.04929,0.0542
97,KUPANG,AMABI OEFETO,KUANHEUM,rice,328,5.7606,True,-10.17367464530846,123.867483017995,407048,0.09186,0.101
98,KUPANG,AMABI OEFETO,NIUNBAUN,horticulture,170,5.7685,True,-10.15388334084138,123.9886467125371,210970,0.04761,0.0524
99,KUPANG,AMABI OEFETO,OEFETO,rice,181,5.7828,True,-10.14074432479049,123.8814644871817,224621,0.05069,0.0558
100,KUPANG,AMABI OEFETO,RAKNAMO,rice,730,5.7557,True,-10.1191446356831,123.9657428023801,905930,0.20445,0.2249
101,KUPANG,AMABI OEFETO TIMUR,ENOLANAN,rice,390,5.7389,True,-10.06613039027998,124.1483503810528,483990,0.10923,0.1201
102,KUPANG,AMABI OEFETO TIMUR,MUKE,rice,476,5.6927,True,-10.1170460448897,124.0949902243565,590716,0.13331,0.1466
103,KUPANG,AMABI OEFETO TIMUR,NUNMAFO,rice,579,5.7046,True,-10.09227824930569,124.0975713609835,718539,0.16216,0.1784
