Village,Cost_per_yr,Max_Connect_MW
237,179022,0.1336
238,207503,0.5634
239,27514,0.129
240,199081,0.2722
241,216625,0.1416
242,211726,0.3046
243,205829,0.2298
244,27514,0.9398
245,27514,0.6327
246,27514,0.9906
247,27514,1.204
248,27514,0.6087
249,27514,0.862
250,27514,0.9217
251,27514,0.883
252,27514,1.7543
253,27514,0.1105
254,294249,0.1353
255,259778,0.1575
256,265354,0.1832
257,268847,0.1084
258,275868,0.0697
259,282046,0.0613
260,287769,0.0895
261,290691,0.0618
262,262428,0.1937
263,27514,0.0933
264,27514,1.2569
265,27514,0.476
266,27514,1.4821
267,27514,1.2044
268,27514,1.7497
269,27514,0.4646
270,27514,0.7335
271,311665,0.045
272,327356,0.1386
273,293288,0.176
274,310081,0.0987
275,305898,0.0584
276,317337,0.1109
277,298016,0.1189
278,312243,0.1075
279,338536,0.1416
280,351735,0.0781
281,329917,0.0685
282,340765,0.1084
283,332790,0.2
284,27514,0.0882
285,184080,0.2315
286,194818,0.313
287,217930,0.0807
288,235975,0.1088
289,206135,0.4176
290,225026,0.1105
291,241587,0.4003
292,250017,0.2344
293,249419,0.3718
294,244045,0.2533
295,239722,0.1764
296,231591,0.2848
297,247375,0.0639
298,252562,0.1559
299,27514,0.3999
300,123395,0.2466
301,127304,0.1832
302,112304,0.25
303,100686,0.2655
304,117049,0.2428
305,128507,0.2777
306,134253,0.2079
307,125612,0.3693
308,141550,0.2491
309,111791,0.2369
310,77192,0.1714
311,82769,0.0958
312,91216,0.1525
313,90642,0.2281
314,84760,0.1752
315,20735,0.2269
316,94989,0.1126
317,83402,0.1575
318,75481,0.1361
319,27514,0.2844
320,78241,0.221
321,89615,0.1613
322,27514,0.1378
323,27514,0.2613
324,27514,0.2609
325,104953,0.2159
326,102204,0.1521
327,87563,0.2021
328,93544,0.2739
329,107797,0.3365
330,112045,0.1075
331,95781,0.2844
332,27514,0.1609
333,59485,0.8175
334,65936,0.2403
335,27514,0.5129
336,45644,0.2684
337,63413,0.2483
338,27514,0.2638
339,67209,0.3424
340,114964,0.2831
341,131291,0.3966
342,27514,0.1575
343,102569,0.2185
344,113434,0.2957
345,99157,0.2197
346,109127,0.2962
347,130716,0.4058
348,115014,0.1617
349,115672,0.4856
350,67523,0.105
351,43082,0.1151
352,27514,0.2214
353,74855,0.1017
354,27514,0.3226
355,27514,0.4125
356,57358,0.0928
357,27514,0.1042
358,39571,0.1781
359,81498,0.1172
360,61110,0.1743
361,61338,0.2659
362,59626,0.255
363,71673,0.3781
364,82350,0.1504
365,27514,0.3105
366,49019,0.2109
367,71406,0.2239
368,50968,0.0643
369,81790,0.1201
370,54746,0.0983
371,74634,0.2508
372,87946,0.2416
373,78413,0.3256
374,104112,0.3722
375,27514,0.1239
376,92023,0.1454
377,27514,0.1643
378,122828,0.242
379,119741,0.2336
380,123133,0.1706
381,105666,0.0756
382,117418,0.2143
383,110910,0.129
384,100518,0.218
385,86036,0.0517
386,27514,0.0639
387,70049,0.2789
388,77139,0.0899
389,80300,0.0584
390,79651,0.0878
391,78977,0.1264
392,48472,0.2302
393,52946,0.1739
394,67694,0.0693
395,65521,0.1437
396,78375,0.2084
397,27514,0.0891
398,57655,0.118
399,71966,0.1538
400,27514,0.1344
401,67328,0.1454
402,60669,0.0928
403,75326,0.176
404,88271,0.2966
405,79547,0.2735
406,27514,0.1689
407,27514,0.2781
408,27514,0.2231
409,45218,0.0807
410,27514,0.1038
411,66536,0.2164
412,80499,0.2004
413,64596,0.2613
414,48279,0.2344
415,27514,0.197
416,27514,0.2655
417,27514,0.0471
418,27514,0.0773
419,120122,0.0857
420,109615,0.1122
421,125270,0.0508
422,111706,0.1626
423,86100,0.2663
424,91054,0.1412
425,110691,0.2458
426,114540,0.0681
427,101713,0.2844
428,95744,0.2957
429,105614,0.1697
430,88592,0.2151
431,94167,0.1823
432,104975,0.1836
433,27514,0.2348
434,105927,0.1143
435,101260,0.1185
436,104740,0.1571
437,105179,0.2781
438,27514,0.2802
439,109784,0.1311
440,94278,0.1176
441,27514,0.1512
442,27514,0.0954
443,61203,0.3071
444,55005,0.1332
445,27514,0.4079
446,53515,0.184
447,53433,0.1853
448,60661,0.1496
449,59388,0.1916
450,50525,0.3625
451,53608,1.0406
452,57149,0.3285
453,27514,0.3285
454,27514,0.3857
455,54636,0.2462
456,125363,0.3281
457,120972,0.2663
458,112738,0.4235
459,110080,0.1319
460,122070,0.2336
461,128954,0.3625
462,132148,0.3638
463,119065,0.2852
464,92797,0.3995
465,93883,0.2084
466,104036,0.6545
467,107183,0.0706
468,100988,0.331
469,107579,0.1798
470,101295,0.1138
471,86418,0.2374
472,78621,0.0861
473,93207,0.0571
474,85040,0.0823
475,76125,0.1525
476,95911,0.0773
477,44388,0.1676
478,56385,0.2483
479,31973,0.2424
480,27514,0.1109
481,27514,0.2344
482,53910,0.2248
483,43172,0.484
484,65442,0.1613
485,74447,0.1899
486,77267,0.1554
487,102356,0.2403
488,27514,0.2037
489,87559,0.1533
490,54493,0.1096
491,69498,0.2143
492,63634,0.0828
493,59446,0.6507
494,27514,0.2302
495,48279,0.4138
496,91117,0.2016
497,39951,0.1155
498,20735,0.1697
499,27514,0.0865
500,37076,0.197
501,27514,0.1496
502,27215,0.1571
503,32823,0.2109
504,28924,0.184
505,20339,0.1924
506,27514,0.1991
507,45124,0.2445
508,27514,0.0647
509,27514,0.0828
510,27514,0.0689
511,52540,0.1722
