r_id,plta_orya_genyem,pltd_genyem,pltd_sentani,pltmg_jayapura_peaker,mpp_jayapura,pltu_jayapura_ftp_1,pltd_jayapura,pltd_wamena,pltmg_merauke,pltg_merauke_2,pltbm_merauke,pltmg_biak_2,pltmg_biak,pltmg_nabire_2,mpp_nabire,mpp_timika,pltmg_biak_3,pltm_wabudori,plts_dedieselisasi,plts_dedieselisasi,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,pltmg_jayapura,plta_orya_2,pltm_amai,plt_ebt_base_jayapura_2,pltm_mamberamo_raya,pltbm_merauke_3,pltm_kalibumi_1,pltu_nabire_kalibobo,pltm_digoel,pltd_sarmi,plts_sarmi,pltmg_serui_1,plts_serui,pltmg_serui_2,pltmg_timika_2,pltmg_timika_2,plts_timika,pltmg_timika_3,pltm_cascade_walesi,pltm_uwe,pltm_walesi_blok_2,plta_baliem,papua_solar_potential_ruen,papua_wind_potential_ruen,papua_hydropower_potential_ruen,papua_hydropower_mini_potential_ruen,papua_biomass_potential_ruen,papua_biogas_potential_ruen,pltd_sorong,pltg_sorong,pltmg_manokawari_2,pltmg_bintuni,pltmg_mpp_fak_fak,pltmg_dedieselisasi,plts_dedieselisasi,plts_dedieselisasi,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,pltmg_kaimana,pltbm_kaimana_2,pltmg_mpp_manokwari,pltmg_manokwari_3,pltm_warnasi_warkai,plts_manokwari,plts_manokwari_eks_apbn,pltmg_raja_ampat,pltmg_sorong_2,pltu_sorong_ex_timika,plt_ebt_base_sorong_3,pltm_waigo,pltmg_sorong,west_papua_solar_potential_ruen,west_papua_wind_potential_ruen,west_papua_hydropower_mini_potential_ruen,west_papua_biomass_potential_ruen,west_papua_biogas_potential_ruen
31,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.175,1,0.175,1,1,1,0.175,1,0.5,0.5,0.5,0.5,0.175,0,0.5,0.5,1,1,1,1,1,1,1,1,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,1,1,1,1,0.5,0.064,0.064,1,1,1,1,0.5,1,0.064,0.001,0.5,1,
32,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.298,1,0.298,1,1,1,0.298,1,0.5,0.5,0.5,0.5,0.298,0.006,0.5,0.5,1,1,1,1,1,1,1,1,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,1,1,1,1,0.5,0.154,0.154,1,1,1,1,0.5,1,0.154,0.001,0.5,1,
33,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.393,1,0.393,1,1,1,0.393,1,0.5,0.5,0.5,0.5,0.393,0.011,0.5,0.5,1,1,1,1,1,1,1,1,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,0.226,1,1,1,1,0.5,0.226,0.226,1,1,1,1,0.5,1,0.226,0.001,0.5,1,
34,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.483,1,0.483,1,1,1,0.483,1,0.5,0.5,0.5,0.5,0.483,0.016,0.5,0.5,1,1,1,1,1,1,1,1,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,0.262,1,1,1,1,0.5,0.262,0.262,1,1,1,1,0.5,1,0.262,0.003,0.5,1,
35,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.491,1,0.491,1,1,1,0.491,1,0.5,0.5,0.5,0.5,0.491,0.02,0.5,0.5,1,1,1,1,1,1,1,1,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,1,1,1,1,0.5,0.301,0.301,1,1,1,1,0.5,1,0.301,0.006,0.5,1,
36,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.398,1,0.398,1,1,1,0.398,1,0.5,0.5,0.5,0.5,0.398,0.037,0.5,0.5,1,1,1,1,1,1,1,1,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,0.332,1,1,1,1,0.5,0.332,0.332,1,1,1,1,0.5,1,0.332,0.004,0.5,1,
37,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.314,1,0.314,1,1,1,0.314,1,0.5,0.5,0.5,0.5,0.314,0.044,0.5,0.5,1,1,1,1,1,1,1,1,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.343,1,1,1,1,0.5,0.343,0.343,1,1,1,1,0.5,1,0.343,0.003,0.5,1,
38,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.203,1,0.203,1,1,1,0.203,1,0.5,0.5,0.5,0.5,0.203,0.041,0.5,0.5,1,1,1,1,1,1,1,1,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.253,1,1,1,1,0.5,0.253,0.253,1,1,1,1,0.5,1,0.253,0.001,0.5,1,
39,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.11,1,0.11,1,1,1,0.11,1,0.5,0.5,0.5,0.5,0.11,0.029,0.5,0.5,1,1,1,1,1,1,1,1,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1,1,1,1,0.5,0.14,0.14,1,1,1,1,0.5,1,0.14,0,0.5,1,
40,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.035,1,0.035,1,1,1,0.035,1,0.5,0.5,0.5,0.5,0.035,0.012,0.5,0.5,1,1,1,1,1,1,1,1,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,1,1,1,1,0.5,0.062,0.062,1,1,1,1,0.5,1,0.062,0,0.5,1,
