Date,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2
,,,,,,,,,103,6,15,7,2023-06-15T05:40:00+08:00,78,33
,,,,,,,,,104,6,15,8,2023-06-15T06:40:00+08:00,78,33
,,,,,,,,,105,6,15,9,2023-06-15T07:40:00+08:00,78,33
,,,,,,,,,106,6,15,10,2023-06-15T08:40:00+08:00,78,33
,,,,,,,,,107,6,15,11,2023-06-15T09:40:00+08:00,78,33
,,,,,,,,,108,6,15,12,2023-06-15T10:40:00+08:00,78,33
,,,,,,,,,109,6,15,13,2023-06-15T11:40:00+08:00,78,33
,,,,,,,,,110,6,15,14,2023-06-15T12:40:00+08:00,78,33
,,,,,,,,,111,6,15,15,2023-06-15T13:40:00+08:00,78,33
,,,,,,,,,112,6,15,16,2023-06-15T14:40:00+08:00,78,33
,,,,,,,,,113,6,15,17,2023-06-15T15:40:00+08:00,62,33
,,,,,,,,,114,6,15,18,2023-06-15T16:40:00+08:00,62,33
,,,,,,,,,115,6,15,19,2023-06-15T17:40:00+08:00,62,27
,,,,,,,,,116,6,15,20,2023-06-15T18:40:00+08:00,62,27
,,,,,,,,,117,6,15,21,2023-06-15T19:40:00+08:00,62,27
,,,,,,,,,118,6,15,22,2023-06-15T20:40:00+08:00,62,27
,,,,,,,,,119,6,15,23,2023-06-15T21:40:00+08:00,62,27
,,,,,,,,,120,6,15,24,2023-06-15T22:40:00+08:00,62,27
,,,,,,,,,121,6,16,1,2023-06-15T23:40:00+08:00,47,20
,,,,,,,,,122,6,16,2,2023-06-16T00:40:00+08:00,47,20
,,,,,,,,,123,6,16,3,2023-06-16T01:40:00+08:00,47,20
,,,,,,,,,124,6,16,4,2023-06-16T02:50:00+08:00,47,20
,,,,,,,,,125,6,16,5,2023-06-16T03:50:00+08:00,47,20
,,,,,,,,,126,6,16,6,2023-06-16T04:50:00+08:00,47,20
,,,,,,,,,127,6,16,7,2023-06-16T05:50:00+08:00,78,33
,,,,,,,,,128,6,16,8,2023-06-16T06:50:00+08:00,78,33
,,,,,,,,,129,6,16,9,2023-06-16T07:50:00+08:00,78,33
,,,,,,,,,130,6,16,10,2023-06-16T08:50:00+08:00,78,33
,,,,,,,,,131,6,16,11,2023-06-16T09:50:00+08:00,78,33
,,,,,,,,,132,6,16,12,2023-06-16T10:50:00+08:00,78,33
,,,,,,,,,133,6,16,13,2023-06-16T11:50:00+08:00,78,33
,,,,,,,,,134,6,16,14,2023-06-16T12:50:00+08:00,78,33
,,,,,,,,,135,6,16,15,2023-06-16T13:50:00+08:00,78,33
,,,,,,,,,136,6,16,16,2023-06-16T14:50:00+08:00,78,33
,,,,,,,,,137,6,16,17,2023-06-16T15:50:00+08:00,62,33
,,,,,,,,,138,6,16,18,2023-06-16T16:50:00+08:00,62,33
,,,,,,,,,139,6,16,19,2023-06-16T17:50:00+08:00,62,27
,,,,,,,,,140,6,16,20,2023-06-16T18:50:00+08:00,62,27
,,,,,,,,,141,6,16,21,2023-06-16T19:50:00+08:00,62,27
,,,,,,,,,142,6,16,22,2023-06-16T20:50:00+08:00,62,27
,,,,,,,,,143,6,16,23,2023-06-16T21:50:00+08:00,62,27
,,,,,,,,,144,6,16,24,2023-06-16T22:50:00+08:00,62,27
,,,,,,,,,145,6,17,1,2023-06-16T23:50:00+08:00,47,20
,,,,,,,,,146,6,17,2,2023-06-17T00:50:00+08:00,47,20
,,,,,,,,,147,6,17,3,2023-06-17T01:50:00+08:00,47,20
,,,,,,,,,148,6,17,4,2023-06-17T02:50:00+08:00,47,20
,,,,,,,,,149,6,17,5,2023-06-17T03:50:00+08:00,47,20
,,,,,,,,,150,6,17,6,2023-06-17T04:50:00+08:00,47,20
,,,,,,,,,151,6,17,7,2023-06-17T05:50:00+08:00,78,33
,,,,,,,,,152,6,17,8,2023-06-17T06:50:00+08:00,78,33
,,,,,,,,,153,6,17,9,2023-06-17T07:50:00+08:00,78,33
,,,,,,,,,154,6,17,10,2023-06-17T08:50:00+08:00,78,33
,,,,,,,,,155,6,17,11,2023-06-17T09:50:00+08:00,78,33
,,,,,,,,,156,6,17,12,2023-06-17T10:50:00+08:00,78,33
,,,,,,,,,157,6,17,13,2023-06-17T11:50:00+08:00,78,33
,,,,,,,,,158,6,17,14,2023-06-17T12:50:00+08:00,78,33
,,,,,,,,,159,6,17,15,2023-06-17T13:50:00+08:00,78,33
,,,,,,,,,160,6,17,16,2023-06-17T14:50:00+08:00,78,33
,,,,,,,,,161,6,17,17,2023-06-17T15:50:00+08:00,62,33
,,,,,,,,,162,6,17,18,2023-06-17T16:50:00+08:00,62,33
,,,,,,,,,163,6,17,19,2023-06-17T17:50:00+08:00,62,27
,,,,,,,,,164,6,17,20,2023-06-17T18:50:00+08:00,62,27
,,,,,,,,,165,6,17,21,2023-06-17T19:50:00+08:00,62,27
,,,,,,,,,166,6,17,22,2023-06-17T20:50:00+08:00,62,27
,,,,,,,,,167,6,17,23,2023-06-17T21:50:00+08:00,62,27
,,,,,,,,,168,6,17,24,2023-06-17T22:50:00+08:00,62,27
,,,,,,,,,169,1,15,1,2023-01-14T23:30:00+08:00,47,20
,,,,,,,,,170,1,15,2,2023-01-15T00:30:00+08:00,47,20
,,,,,,,,,171,1,15,3,2023-01-15T01:30:00+08:00,47,20
,,,,,,,,,172,1,15,4,2023-01-15T02:30:00+08:00,47,20
,,,,,,,,,173,1,15,5,2023-01-15T03:30:00+08:00,47,20
,,,,,,,,,174,1,15,6,2023-01-15T04:30:00+08:00,47,20
,,,,,,,,,175,1,15,7,2023-01-15T05:30:00+08:00,78,33
,,,,,,,,,176,1,15,8,2023-01-15T06:30:00+08:00,78,33
,,,,,,,,,177,1,15,9,2023-01-15T07:30:00+08:00,78,33
,,,,,,,,,178,1,15,10,2023-01-15T08:30:00+08:00,78,33
,,,,,,,,,179,1,15,11,2023-01-15T09:30:00+08:00,78,33
,,,,,,,,,180,1,15,12,2023-01-15T10:30:00+08:00,78,33
,,,,,,,,,181,1,15,13,2023-01-15T11:30:00+08:00,78,33
,,,,,,,,,182,1,15,14,2023-01-15T12:30:00+08:00,78,33
,,,,,,,,,183,1,15,15,2023-01-15T13:30:00+08:00,78,33
,,,,,,,,,184,1,15,16,2023-01-15T14:30:00+08:00,78,33
,,,,,,,,,185,1,15,17,2023-01-15T15:30:00+08:00,62,33
,,,,,,,,,186,1,15,18,2023-01-15T16:30:00+08:00,62,33
,,,,,,,,,187,1,15,19,2023-01-15T17:30:00+08:00,62,27
,,,,,,,,,188,1,15,20,2023-01-15T18:30:00+08:00,62,27
,,,,,,,,,189,1,15,21,2023-01-15T19:30:00+08:00,62,27
,,,,,,,,,190,1,15,22,2023-01-15T20:30:00+08:00,62,27
,,,,,,,,,191,1,15,23,2023-01-15T21:30:00+08:00,62,27
,,,,,,,,,192,1,15,24,2023-01-15T22:30:00+08:00,62,27
,,,,,,,,,193,1,16,1,2023-01-15T23:30:00+08:00,47,20
,,,,,,,,,194,1,16,2,2023-01-16T00:30:00+08:00,47,20
,,,,,,,,,195,1,16,3,2023-01-16T01:40:00+08:00,47,20
,,,,,,,,,196,1,16,4,2023-01-16T02:40:00+08:00,47,20
,,,,,,,,,197,1,16,5,2023-01-16T03:40:00+08:00,47,20
,,,,,,,,,198,1,16,6,2023-01-16T04:40:00+08:00,47,20
,,,,,,,,,199,1,16,7,2023-01-16T05:40:00+08:00,78,33
,,,,,,,,,200,1,16,8,2023-01-16T06:40:00+08:00,78,33
,,,,,,,,,201,1,16,9,2023-01-16T07:40:00+08:00,78,33
,,,,,,,,,202,1,16,10,2023-01-16T08:40:00+08:00,78,33
,,,,,,,,,203,1,16,11,2023-01-16T09:40:00+08:00,78,33
,,,,,,,,,204,1,16,12,2023-01-16T10:40:00+08:00,78,33
,,,,,,,,,205,1,16,13,2023-01-16T11:40:00+08:00,78,33
,,,,,,,,,206,1,16,14,2023-01-16T12:40:00+08:00,78,33
,,,,,,,,,207,1,16,15,2023-01-16T13:40:00+08:00,78,33
,,,,,,,,,208,1,16,16,2023-01-16T14:40:00+08:00,78,33
,,,,,,,,,209,1,16,17,2023-01-16T15:40:00+08:00,62,33
,,,,,,,,,210,1,16,18,2023-01-16T16:40:00+08:00,62,33
,,,,,,,,,211,1,16,19,2023-01-16T17:40:00+08:00,62,27
,,,,,,,,,212,1,16,20,2023-01-16T18:40:00+08:00,62,27
,,,,,,,,,213,1,16,21,2023-01-16T19:40:00+08:00,62,27
,,,,,,,,,214,1,16,22,2023-01-16T20:40:00+08:00,62,27
,,,,,,,,,215,1,16,23,2023-01-16T21:40:00+08:00,62,27
,,,,,,,,,216,1,16,24,2023-01-16T22:40:00+08:00,62,27
,,,,,,,,,217,1,17,1,2023-01-16T23:40:00+08:00,47,20
,,,,,,,,,218,1,17,2,2023-01-17T00:40:00+08:00,47,20
,,,,,,,,,219,1,17,3,2023-01-17T01:40:00+08:00,47,20
,,,,,,,,,220,1,17,4,2023-01-17T02:40:00+08:00,47,20
,,,,,,,,,221,1,17,5,2023-01-17T03:40:00+08:00,47,20
,,,,,,,,,222,1,17,6,2023-01-17T04:40:00+08:00,47,20
,,,,,,,,,223,1,17,7,2023-01-17T05:40:00+08:00,78,33
,,,,,,,,,224,1,17,8,2023-01-17T06:40:00+08:00,78,33
,,,,,,,,,225,1,17,9,2023-01-17T07:40:00+08:00,78,33
,,,,,,,,,226,1,17,10,2023-01-17T08:40:00+08:00,78,33
,,,,,,,,,227,1,17,11,2023-01-17T09:40:00+08:00,78,33
,,,,,,,,,228,1,17,12,2023-01-17T10:40:00+08:00,78,33
,,,,,,,,,229,1,17,13,2023-01-17T11:40:00+08:00,78,33
,,,,,,,,,230,1,17,14,2023-01-17T12:40:00+08:00,78,33
,,,,,,,,,231,1,17,15,2023-01-17T13:40:00+08:00,78,33
,,,,,,,,,232,1,17,16,2023-01-17T14:40:00+08:00,78,33
,,,,,,,,,233,1,17,17,2023-01-17T15:40:00+08:00,62,33
,,,,,,,,,234,1,17,18,2023-01-17T16:40:00+08:00,62,33
,,,,,,,,,235,1,17,19,2023-01-17T17:40:00+08:00,62,27
,,,,,,,,,236,1,17,20,2023-01-17T18:40:00+08:00,62,27
,,,,,,,,,237,1,17,21,2023-01-17T19:40:00+08:00,62,27
,,,,,,,,,238,1,17,22,2023-01-17T20:40:00+08:00,62,27
,,,,,,,,,239,1,17,23,2023-01-17T21:40:00+08:00,62,27
,,,,,,,,,240,1,17,24,2023-01-17T22:40:00+08:00,62,27
,,,,,,,,,241,1,18,1,2023-01-17T23:40:00+08:00,47,20
,,,,,,,,,242,1,18,2,2023-01-18T00:40:00+08:00,47,20
