r_id,pltd_poka,pltmg_ambon_peaker,lmvpp_ambon,pltd_hative_kecil,pltd_masohi,pltmg_seram,pltd_namlea,pltd_mako,pltmg_langgur,pltd_masohi,pltmg_ambon_2,pltmg_mpp_sambelia,pltp_tueihu,plt_ebt_base_ambon,pltmg_buia,plts_buia,plts_buia,pltmg_nambea,pltmg_namrole,plts_namlea,pltbio_namlea,plta_wai_tina,pltp_buru,pltmg_dobo,pltbio_dobo_2,plts_lisdes,plts_dedieselisasi,plts_lisdes,plts_lisded,pltmg_masela,plts_saparua_2,pltmg_saumlaki,pltbio_saumlaki_2,pltmg_seram_2,pltm_nua_masohi,pltm_seram,pltm_wae_maia,plta_wai_tala,pltbio_seram,pltmg_seram_utara,pltbio_langgur_2,maluku_solar_potential_ruen,maluku_wind_potential_ruen,maluku_geothermal_potential_ruen,maluku_hydropower_potential_ruen,maluku_hydropower_mini_potential_ruen,maluku_biomass_potential_ruen,maluku_biogas_potential_ruen,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.054,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.058,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.054,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0,0.042,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.038,1,1,1,1,1,0.5,1,1,1,0.038,0.038,0.038,0.038,1,0.038,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.038,0.027,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.124,1,1,1,1,1,0.5,1,1,1,0.124,0.124,0.124,0.124,1,0.124,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.124,0.012,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.206,1,1,1,1,1,0.5,1,1,1,0.206,0.206,0.206,0.206,1,0.206,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.206,0.01,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.242,1,1,1,1,1,0.5,1,1,1,0.242,0.242,0.242,0.242,1,0.242,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.242,0.014,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.236,1,1,1,1,1,0.5,1,1,1,0.236,0.236,0.236,0.236,1,0.236,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.236,0.009,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.241,1,1,1,1,1,0.5,1,1,1,0.241,0.241,0.241,0.241,1,0.241,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.241,0.005,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
