ID,Resource,Zone,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh,commodity,plant_owner,owner_parent_company,owner_home_country_flag
86,pt_angels_products_solar,2,solar,0.0,399.470386,-399.470386,0.0,,,,
87,pt_angels_products_solar,2,solar,0.0,10307.3849,-10307.3849,0.0,,,,
88,pt_angels_products_solar,2,solar,0.0,1000.907125,-1000.907125,0.0,,,,
89,pt_angels_products_solar,2,solar,0.0,92.712075,-92.712075,0.0,,,,
90,pt_angels_products_solar,2,solar,0.0,2254.290237,-2254.290237,0.0,,,,
91,pt_berkah_manis_makmur,2,coal_captive,0.0,18.0,-18.0,0.0,sugar,pt_berkah_manis_makmur,pt_karunia_cipta_sempurna,indonesia
92,pt_berkah_manis_makmur_geothermal,2,geothermal,0.0,4717.492051,-4717.492051,0.0,,,,
93,pt_berkah_manis_makmur_geothermal,2,geothermal,0.0,2239.434424,-2239.434424,0.0,,,,
94,pt_berkah_manis_makmur_geothermal,2,geothermal,0.0,2606.917641,-2606.917641,0.0,,,,
95,pt_berkah_manis_makmur_geothermal,2,geothermal,0.0,3.825053,-3.825053,0.0,,,,
96,pt_berkah_manis_makmur_solar,2,solar,0.0,11221.0127,-11221.0127,0.0,,,,
97,pt_berkah_manis_makmur_solar,2,solar,0.0,5342.516305,-5342.516305,0.0,,,,
98,pt_berkah_manis_makmur_solar,2,solar,0.0,424.859488,-424.859488,0.0,,,,
99,pt_berkah_manis_makmur_solar,2,solar,0.0,9.180126,-9.180126,0.0,,,,
100,pt_chandra_asri_petrochemical_tbk,2,coal_captive,0.0,21.0,-21.0,0.0,petrochemicals,pt_chandra_asri_petrochemical_tbk,egco_group_30,thailand
101,pt_chandra_asri_petrochemical_tbk_geothermal,2,geothermal,0.0,216.128654,-216.128654,0.0,,,,
102,pt_chandra_asri_petrochemical_tbk_geothermal,2,geothermal,0.0,5637.448873,-5637.448873,0.0,,,,
103,pt_chandra_asri_petrochemical_tbk_geothermal,2,geothermal,0.0,256.324268,-256.324268,0.0,,,,
104,pt_chandra_asri_petrochemical_tbk_geothermal,2,geothermal,0.0,361.539397,-361.539397,0.0,,,,
105,pt_chandra_asri_petrochemical_tbk_geothermal,2,geothermal,0.0,409.373824,-409.373824,0.0,,,,
106,pt_chandra_asri_petrochemical_tbk_solar,2,solar,0.0,10302.7755,-10302.7755,0.0,,,,
107,pt_chandra_asri_petrochemical_tbk_solar,2,solar,0.0,601.406851,-601.406851,0.0,,,,
108,pt_chandra_asri_petrochemical_tbk_solar,2,solar,0.0,55.125486,-55.125486,0.0,,,,
109,pt_chandra_asri_petrochemical_tbk_solar,2,solar,0.0,977.906769,-977.906769,0.0,,,,
110,pt_dian_swastatika_sentosa_tangerang_power_plant,2,coal_captive,0.0,19.0,-19.0,0.0,pulp_paper,pt_dian_swastatika_sentosa_tbk,sinar_mas_group,indonesia
111,pt_dian_swastatika_sentosa_tangerang_power_plant_geothermal,2,geothermal,0.0,6438.18547,-6438.18547,0.0,,,,
112,pt_dian_swastatika_sentosa_tangerang_power_plant_geothermal,2,geothermal,0.0,776.423498,-776.423498,0.0,,,,
113,pt_dian_swastatika_sentosa_tangerang_power_plant_geothermal,2,geothermal,0.0,237.13752,-237.13752,0.0,,,,
114,pt_dian_swastatika_sentosa_tangerang_power_plant_geothermal,2,geothermal,0.0,7.649561,-7.649561,0.0,,,,
115,pt_dian_swastatika_sentosa_tangerang_power_plant_solar,2,solar,0.0,13230.40066,-13230.40066,0.0,,,,
116,pt_dian_swastatika_sentosa_tangerang_power_plant_solar,2,solar,0.0,1854.237451,-1854.237451,0.0,,,,
117,pt_dian_swastatika_sentosa_tangerang_power_plant_solar,2,solar,0.0,41.171806,-41.171806,0.0,,,,
118,pt_dian_swastatika_sentosa_tangerang_power_plant_solar,2,solar,0.0,18.358946,-18.358946,0.0,,,,
119,bandung_indosyntec_power_station_unit_1,3,coal_captive,0.0,30.0,-30.0,0.0,textiles,pt_panasia_indo_resources_tbk,lucky_height_resources_ltd_278_gold_gazelle_profits_corp_196_pt_panasia_synthetic_abadi_194_ortega_management_ltd_100_mercury_capital_international_inc_97_prime_invesco_ltd_95,singapore_british_virgin_islands_indonesia
120,bandung_indosyntec_power_station_geothermal,3,geothermal,0.0,106.915122,-106.915122,0.0,,,,
121,bandung_indosyntec_power_station_geothermal,3,geothermal,0.0,7406.795921,-7406.795921,0.0,,,,
122,bandung_indosyntec_power_station_solar,3,solar,0.0,256.596292,-256.596292,0.0,,,,
123,bandung_indosyntec_power_station_solar,3,solar,0.0,17776.31021,-17776.31021,0.0,,,,
124,fajar_power_station_unit_1,3,coal_captive,0.0,64.0,-64.0,0.0,pulp_paper,pt_fajar_surya_wisesa,the_siam_cement_pcl_997,thailand
125,fajar_power_station_geothermal,3,geothermal,0.0,2502.89958,-2502.89958,0.0,,,,
126,fajar_power_station_geothermal,3,geothermal,0.0,1516.375266,-1516.375266,0.0,,,,
127,fajar_power_station_geothermal,3,geothermal,0.0,1246.808183,-1246.808183,0.0,,,,
128,fajar_power_station_geothermal,3,geothermal,0.0,61.195146,-61.195146,0.0,,,,
129,fajar_power_station_solar,3,solar,0.0,11256.30006,-11256.30006,0.0,,,,
130,fajar_power_station_solar,3,solar,0.0,3822.853204,-3822.853204,0.0,,,,
131,fajar_power_station_solar,3,solar,0.0,198.604817,-198.604817,0.0,,,,
132,fajar_power_station_solar,3,solar,0.0,146.868351,-146.868351,0.0,,,,
133,indo_bharat_rayon_power_station_unit_1,3,coal_captive,0.0,37.0,-37.0,0.0,textiles,pt_indo_bharat_rayon,aditya_birla_group,indonesia
134,indo_bharat_rayon_power_station_geothermal,3,geothermal,0.0,653.649731,-653.649731,0.0,,,,
135,indo_bharat_rayon_power_station_geothermal,3,geothermal,0.0,12060.85571,-12060.85571,0.0,,,,
136,indo_bharat_rayon_power_station_solar,3,solar,0.0,2174.28634,-2174.28634,0.0,,,,
137,indo_bharat_rayon_power_station_solar,3,solar,0.0,34868.32849,-34868.32849,0.0,,,,
138,pindodeliii_power_station_unit_1,3,coal_captive,0.0,50.0,-50.0,0.0,pulp_paper,pt_dian_swastatika_sentosa_tbk,sinar_mas_group,indonesia
139,pindodeliii_power_station_unit_2,3,coal_captive,0.0,90.0,-90.0,0.0,pulp_paper,pt_dian_swastatika_sentosa_tbk,sinar_mas_group,indonesia
140,pindodeliii_power_station_geothermal,3,geothermal,0.0,250.393992,-250.393992,0.0,,,,
141,pindodeliii_power_station_geothermal,3,geothermal,0.0,12097.20808,-12097.20808,0.0,,,,
142,pindodeliii_power_station_geothermal,3,geothermal,0.0,2057.303218,-2057.303218,0.0,,,,
143,pindodeliii_power_station_geothermal,3,geothermal,0.0,1131.97294,-1131.97294,0.0,,,,
144,pindodeliii_power_station_geothermal,3,geothermal,0.0,32.506846,-32.506846,0.0,,,,
145,pindodeliii_power_station_solar,3,solar,0.0,600.945581,-600.945581,0.0,,,,
146,pindodeliii_power_station_solar,3,solar,0.0,35368.57117,-35368.57117,0.0,,,,
147,pindodeliii_power_station_solar,3,solar,0.0,4942.116198,-4942.116198,0.0,,,,
148,pindodeliii_power_station_solar,3,solar,0.0,213.476053,-213.476053,0.0,,,,
149,pindodeliii_power_station_solar,3,solar,0.0,78.016429,-78.016429,0.0,,,,
150,purwakarta_indorama_power_station_unit_1,3,coal_captive,0.0,30.0,-30.0,0.0,textiles,pt_pln_persero,pt_pln_persero,indonesia
151,purwakarta_indorama_power_station_unit_2,3,coal_captive,0.0,30.0,-30.0,0.0,textiles,pt_pln_persero,pt_pln_persero,indonesia
152,purwakarta_indorama_power_station_geothermal,3,geothermal,0.0,504.512086,-504.512086,0.0,,,,
153,purwakarta_indorama_power_station_geothermal,3,geothermal,0.0,11995.87483,-11995.87483,0.0,,,,
154,purwakarta_indorama_power_station_solar,3,solar,0.0,1591.567355,-1591.567355,0.0,,,,
155,purwakarta_indorama_power_station_solar,3,solar,0.0,34712.37439,-34712.37439,0.0,,,,
156,pt_south_pasific_viscose,3,coal_captive,0.0,46.0,-46.0,0.0,textiles,pt_south_pasific_viscose,lenzing_group,austria
157,pt_south_pasific_viscose_geothermal,3,geothermal,0.0,621.157823,-621.157823,0.0,,,,
