Village,gen_cost,solar_cost,diesel_cost,battery_power_cost,battery_energy_cost,total_cost
26,35028.202551670096,26550.510430136368,3488.473116962562,4989.219004571162,36263.6119013978,71291.8144530679
27,32573.368630389683,24819.613141928832,3190.8219665951597,4562.9335218656925,33167.17263981185,65740.54127020153
28,23888.4211813179,18134.48429550634,2367.592002889097,3386.344882922461,24610.861008242595,48499.282189560494
29,16835.986664022344,12739.820457967207,1685.375118301135,2410.7910877540025,17521.198500760678,34357.18516478302
30,13647.195795822026,10503.61332469168,1293.608351845606,1849.9741192847423,13445.309713966797,27092.505509788825
31,27247.343152912792,20846.211972448193,2634.089526627119,3767.0416538374807,27382.15627566797,54629.49942858076
32,40248.28612303336,30646.19759648406,3951.1482766858135,5650.9402498634845,41072.0398195374,81320.32594257075
33,23745.529464396717,18068.39612349919,2336.3063605266448,3340.8269803708813,24284.554294690544,48030.08375908726
34,18890.70390513009,14318.723308333241,1881.3390474151636,2690.6415493816858,19558.05050122583,38448.75440635592
35,19435.272271892383,14748.4498142296,1928.576905414843,2758.245552247941,20046.559276245454,39481.83154813784
36,11438.532614799497,8694.876858243693,1128.8984107512267,1614.7573458045767,11735.251963149121,23173.784577948616
37,20041.311755343682,15240.514039341451,1975.4664832145263,2825.3312327877043,20535.285375624135,40576.59713096781
38,41060.95935435136,31249.477527263836,4037.3132502798217,5774.168576807706,41969.217506475434,83030.17686082679
39,17990.19360985908,13588.86514245871,1811.1434626738655,2590.185004726507,18824.447761873806,36814.64137173288
40,16523.54140228965,12579.877006811264,1622.8578702569694,2320.8065252214174,16868.061941045846,33391.6033433355
41,17668.606975283335,13401.162452911873,1756.0478666905992,2511.3966556808655,18254.26456888224,35922.87154416558
42,19625.471459596363,14824.333045738273,1975.466483174065,2825.671930684026,20535.958182945982,40161.429642542345
43,34746.754107867186,26306.733236555367,3472.9525801376144,4967.068291174204,36100.61616711118,70847.37027497837
44,27309.985667430792,20698.629386257548,2720.2980561150202,3891.058225058223,28278.157624206146,55588.14329163694
