R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
11,1,kalimantan,west_kalimantan,air_upas,biogas,2,0,2023,plan,ipp,0,1,2150000,0,0,89200,0,0.1,2,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
12,1,kalimantan,west_kalimantan,kendawangan,biogas,2.5,0,2023,plan,ipp,0,1,2150000,0,0,89200,0,0.1,2.5,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
13,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biomass,5,0,2023,plan,ipp,1,1,2150000,0,0,89200,0,0.1,5,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,0,
14,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biomass,1.2,0,2023,plan,ipp,1,1,2150000,0,0,89200,0,0.1,1.2,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,0,
15,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biomass,2,0,2023,plan,ipp,1,1,2150000,0,0,89200,0,0.1,2,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
16,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biomass,6,0,2023,plan,ipp,1,1,2150000,0,0,89200,0,0.1,6,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
17,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biomass,7,0,2023,plan,ipp,1,1,2150000,0,0,89200,0,0.1,7,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
18,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biomass,10,0,2023,plan,ipp,1,1,2150000,0,0,89200,0,0.1,10,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
19,1,kalimantan,west_kalimantan,lisdes_kalbar,solar,22.5,0,2023,plan,pln,0,1,2150000,0,0,89200,0,0.1,22.5,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,1,
20,1,kalimantan,west_kalimantan,nanga_tayap,biogas,2.2,0,2023,plan,ipp,0,1,2150000,0,0,89200,0,0.1,2.2,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
21,1,kalimantan,west_kalimantan,dedieselisasi,solar,69.8,0,2023,plan,ipp,0,1,560000,0,0,10000,0,0,69.8,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
22,1,kalimantan,west_kalimantan,sei_melayu,biogas,2.5,0,2023,plan,ipp,0,1,2150000,0,0,89200,0,0.1,2.5,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
23,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,hydropower_mini,9,0,2024,plan,ipp,1,1,2590000,0,0,50900,0,0.48,9,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,0,
24,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biogas,10,0,2024,plan,ipp,1,1,2150000,0,0,89200,0,0.1,10,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
25,1,kalimantan,west_kalimantan,lisdes_kalbar,solar,23.1,0,2024,plan,pln,0,1,560000,0,0,10000,0,0,23.1,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
26,1,kalimantan,west_kalimantan,kalbar,solar,30,0,2025,plan,pln,0,1,560000,0,0,10000,0,0,30,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
27,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,hydropower_mini,17,0,2025,plan,ipp,0,1,2200000,0,0,40200,0,0.48,17,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,0,
28,1,kalimantan,west_kalimantan,pantai_kurakura_ftp_1,coal,55,0,2025,construction,pln,0,0,1600000,0,0,43900,0,0.12,55,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
29,1,kalimantan,west_kalimantan,parit_baru_ftpi,coal,100,0,2025,construction,pln,0,0,1360000,0,0,40000,0,0.12,100,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
30,1,kalimantan,west_kalimantan,dedieselisasi,solar,10.5,0,2025,plan,ipp,0,1,560000,0,0,10000,0,0,10.5,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
31,1,kalimantan,west_kalimantan,tepuai,hydropower_mini,2,0,2025,plan,pln,0,1,2590000,0,0,50900,0,0.48,2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,0,
32,1,kalimantan,west_kalimantan,khatulistiwa_kuota_tersebar,biogas,10,0,2026,plan,ipp,1,1,2150000,0,0,89200,0,0.1,10,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,0,
33,1,kalimantan,west_kalimantan,kalbar,hydropower,100,0,2027,plan,pln,0,1,2200000,0,0,40200,0,0.48,100,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
34,1,kalimantan,west_kalimantan,nanga_pinoh,hydropower,100,0,2029,plan,pln,0,1,2200000,0,0,40200,0,0.48,100,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
35,2,kalimantan,south_kalimantan,pltu_kalsel_ftp2,coal,200,0,,operating,pln,0,-1,1360000,0,0,40000,0,0.12,200,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
36,2,kalimantan,south_kalimantan,pltbg_sukadamai,biogas,2.4,0,,operating,pln,0,-1,2150000,0,0,89200,0,0.1,2.4,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,0,
37,2,kalimantan,south_kalimantan,plta_riam_kanan,hydropower,30,0,,operating,pln,0,-1,2200000,0,0,40200,0,0.48,30,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,0,
38,2,kalimantan,south_kalimantan,pltg_trisakti,gas,21,0,,operating,pln,0,-1,730000,0,0,22500,0,2.23,21,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
39,2,kalimantan,south_kalimantan,pltd_trisakti,diesel,90,0,,operating,pln,0,-1,800000,0,0,8000,0,6,90,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,,,0,
40,2,kalimantan,south_kalimantan,pltu_asam_asam_ftp_1_34,coal,130,0,,operating,pln,0,-1,1360000,0,0,40000,0,0.12,130,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
41,2,kalimantan,south_kalimantan,pltu_asam_asam_12,coal,130,0,,operating,pln,0,-1,1360000,0,0,40000,0,0.12,130,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
42,2,kalimantan,south_kalimantan,kalsel_kuota_tersebar,solar,0.9,0,2022,plan,ipp,1,1,560000,0,0,10000,0,0,0.9,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
43,2,kalimantan,south_kalimantan,kalselteng_2,coal,200,0,2022,construction,pln,0,0,1360000,0,0,40000,0,0.12,200,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
