Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4
,,,,,,,,,100,6,15,4,2023-06-15T02:40:00+08:00,12,9,178,361
,,,,,,,,,101,6,15,5,2023-06-15T03:40:00+08:00,12,9,178,361
,,,,,,,,,102,6,15,6,2023-06-15T04:40:00+08:00,12,9,178,361
,,,,,,,,,103,6,15,7,2023-06-15T05:40:00+08:00,20,15,297,602
,,,,,,,,,104,6,15,8,2023-06-15T06:40:00+08:00,20,15,297,602
,,,,,,,,,105,6,15,9,2023-06-15T07:40:00+08:00,20,15,297,602
,,,,,,,,,106,6,15,10,2023-06-15T08:40:00+08:00,20,15,297,602
,,,,,,,,,107,6,15,11,2023-06-15T09:40:00+08:00,20,15,297,602
,,,,,,,,,108,6,15,12,2023-06-15T10:40:00+08:00,20,15,297,602
,,,,,,,,,109,6,15,13,2023-06-15T11:40:00+08:00,20,15,297,602
,,,,,,,,,110,6,15,14,2023-06-15T12:40:00+08:00,20,15,297,602
,,,,,,,,,111,6,15,15,2023-06-15T13:40:00+08:00,20,15,297,602
,,,,,,,,,112,6,15,16,2023-06-15T14:40:00+08:00,20,15,297,602
,,,,,,,,,113,6,15,17,2023-06-15T15:40:00+08:00,20,15,297,602
,,,,,,,,,114,6,15,18,2023-06-15T16:40:00+08:00,20,15,297,602
,,,,,,,,,115,6,15,19,2023-06-15T17:40:00+08:00,16,12,237,481
,,,,,,,,,116,6,15,20,2023-06-15T18:40:00+08:00,16,12,237,481
,,,,,,,,,117,6,15,21,2023-06-15T19:40:00+08:00,16,12,237,481
,,,,,,,,,118,6,15,22,2023-06-15T20:40:00+08:00,16,12,237,481
,,,,,,,,,119,6,15,23,2023-06-15T21:40:00+08:00,16,12,237,481
,,,,,,,,,120,6,15,24,2023-06-15T22:40:00+08:00,16,12,237,481
,,,,,,,,,121,6,16,1,2023-06-15T23:40:00+08:00,12,9,178,361
,,,,,,,,,122,6,16,2,2023-06-16T00:40:00+08:00,12,9,178,361
,,,,,,,,,123,6,16,3,2023-06-16T01:40:00+08:00,12,9,178,361
,,,,,,,,,124,6,16,4,2023-06-16T02:50:00+08:00,12,9,178,361
,,,,,,,,,125,6,16,5,2023-06-16T03:50:00+08:00,12,9,178,361
,,,,,,,,,126,6,16,6,2023-06-16T04:50:00+08:00,12,9,178,361
,,,,,,,,,127,6,16,7,2023-06-16T05:50:00+08:00,20,15,297,602
,,,,,,,,,128,6,16,8,2023-06-16T06:50:00+08:00,20,15,297,602
