r_id,amman_mineral_power_station_unit_1,amman_mineral_power_station_unit_2,amman_mineral_power_station_unit_3,amman_mineral_power_station_unit_4,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_wind
137,1,1,1,1,1,1,1,1,1,0.043,0.043,0.043,0.043,0.043,0.022
138,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.033
139,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.045
140,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.058
141,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.075
142,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.09
143,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.086
144,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.09
145,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.096
146,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.104
147,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.111
148,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.104
149,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.11
150,1,1,1,1,1,1,1,1,1,0.016,0.016,0.016,0.016,0.016,0.118
151,1,1,1,1,1,1,1,1,1,0.219,0.219,0.219,0.219,0.219,0.082
152,1,1,1,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,0.079
153,1,1,1,1,1,1,1,1,1,0.536,0.536,0.536,0.536,0.536,0.087
154,1,1,1,1,1,1,1,1,1,0.599,0.599,0.599,0.599,0.599,0.072
155,1,1,1,1,1,1,1,1,1,0.619,0.619,0.619,0.619,0.619,0.067
156,1,1,1,1,1,1,1,1,1,0.609,0.609,0.609,0.609,0.609,0.064
157,1,1,1,1,1,1,1,1,1,0.572,0.572,0.572,0.572,0.572,0.059
158,1,1,1,1,1,1,1,1,1,0.51,0.51,0.51,0.51,0.51,0.055
159,1,1,1,1,1,1,1,1,1,0.415,0.415,0.415,0.415,0.415,0.054
160,1,1,1,1,1,1,1,1,1,0.277,0.277,0.277,0.277,0.277,0.052
161,1,1,1,1,1,1,1,1,1,0.072,0.072,0.072,0.072,0.072,0.056
162,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.082
163,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.093
164,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.104
165,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.107
166,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.104
167,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.104
168,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.102
169,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.047
170,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.048
171,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.051
172,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.048
173,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.037
174,1,1,1,1,1,1,1,1,1,0.021,0.021,0.021,0.021,0.021,0.027
175,1,1,1,1,1,1,1,1,1,0.115,0.115,0.115,0.115,0.115,0.021
176,1,1,1,1,1,1,1,1,1,0.22,0.22,0.22,0.22,0.22,0.023
177,1,1,1,1,1,1,1,1,1,0.31,0.31,0.31,0.31,0.31,0.038
178,1,1,1,1,1,1,1,1,1,0.369,0.369,0.369,0.369,0.369,0.057
179,1,1,1,1,1,1,1,1,1,0.366,0.366,0.366,0.366,0.366,0.068
180,1,1,1,1,1,1,1,1,1,0.318,0.318,0.318,0.318,0.318,0.073
181,1,1,1,1,1,1,1,1,1,0.268,0.268,0.268,0.268,0.268,0.079
182,1,1,1,1,1,1,1,1,1,0.215,0.215,0.215,0.215,0.215,0.09
183,1,1,1,1,1,1,1,1,1,0.15,0.15,0.15,0.15,0.15,0.089
184,1,1,1,1,1,1,1,1,1,0.081,0.081,0.081,0.081,0.081,0.071
185,1,1,1,1,1,1,1,1,1,0.024,0.024,0.024,0.024,0.024,0.056
186,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.063
187,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.057
188,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.047
189,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.058
190,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.052
191,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.061
192,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.076
193,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.084
194,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.082
195,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.082
196,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.068
197,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.061
198,1,1,1,1,1,1,1,1,1,0.004,0.004,0.004,0.004,0.004,0.054
199,1,1,1,1,1,1,1,1,1,0.04,0.04,0.04,0.04,0.04,0.045
200,1,1,1,1,1,1,1,1,1,0.09,0.09,0.09,0.09,0.09,0.035
201,1,1,1,1,1,1,1,1,1,0.136,0.136,0.136,0.136,0.136,0.035
202,1,1,1,1,1,1,1,1,1,0.183,0.183,0.183,0.183,0.183,0.045
203,1,1,1,1,1,1,1,1,1,0.217,0.217,0.217,0.217,0.217,0.03
204,1,1,1,1,1,1,1,1,1,0.238,0.238,0.238,0.238,0.238,0.01
205,1,1,1,1,1,1,1,1,1,0.235,0.235,0.235,0.235,0.235,0.004
206,1,1,1,1,1,1,1,1,1,0.204,0.204,0.204,0.204,0.204,0.006
207,1,1,1,1,1,1,1,1,1,0.147,0.147,0.147,0.147,0.147,0.013
208,1,1,1,1,1,1,1,1,1,0.078,0.078,0.078,0.078,0.078,0.02
209,1,1,1,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,0.033
210,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.057
211,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.068
212,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.07
213,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.072
214,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.073
215,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.08
216,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.084
217,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.089
218,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.085
219,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.081
220,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.08
221,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.083
222,1,1,1,1,1,1,1,1,1,0.012,0.012,0.012,0.012,0.012,0.078
223,1,1,1,1,1,1,1,1,1,0.062,0.062,0.062,0.062,0.062,0.053
224,1,1,1,1,1,1,1,1,1,0.133,0.133,0.133,0.133,0.133,0.031
225,1,1,1,1,1,1,1,1,1,0.204,0.204,0.204,0.204,0.204,0.017
226,1,1,1,1,1,1,1,1,1,0.235,0.235,0.235,0.235,0.235,0.015
227,1,1,1,1,1,1,1,1,1,0.256,0.256,0.256,0.256,0.256,0.014
228,1,1,1,1,1,1,1,1,1,0.259,0.259,0.259,0.259,0.259,0.02
229,1,1,1,1,1,1,1,1,1,0.239,0.239,0.239,0.239,0.239,0.03
230,1,1,1,1,1,1,1,1,1,0.203,0.203,0.203,0.203,0.203,0.029
231,1,1,1,1,1,1,1,1,1,0.161,0.161,0.161,0.161,0.161,0.019
232,1,1,1,1,1,1,1,1,1,0.094,0.094,0.094,0.094,0.094,0.012
233,1,1,1,1,1,1,1,1,1,0.026,0.026,0.026,0.026,0.026,0.014
234,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.023
235,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.032
236,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.039
237,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.045
238,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.048
239,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.051
240,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.052
241,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.053
242,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.044
243,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.038
244,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.037
245,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.023
246,1,1,1,1,1,1,1,1,1,0.017,0.017,0.017,0.017,0.017,0.011
247,1,1,1,1,1,1,1,1,1,0.091,0.091,0.091,0.091,0.091,0.005
248,1,1,1,1,1,1,1,1,1,0.183,0.183,0.183,0.183,0.183,0.001
249,1,1,1,1,1,1,1,1,1,0.281,0.281,0.281,0.281,0.281,0.001
250,1,1,1,1,1,1,1,1,1,0.359,0.359,0.359,0.359,0.359,0.001
251,1,1,1,1,1,1,1,1,1,0.41,0.41,0.41,0.41,0.41,0.004
252,1,1,1,1,1,1,1,1,1,0.422,0.422,0.422,0.422,0.422,0.012
253,1,1,1,1,1,1,1,1,1,0.404,0.404,0.404,0.404,0.404,0.026
254,1,1,1,1,1,1,1,1,1,0.357,0.357,0.357,0.357,0.357,0.04
255,1,1,1,1,1,1,1,1,1,0.262,0.262,0.262,0.262,0.262,0.046
256,1,1,1,1,1,1,1,1,1,0.152,0.152,0.152,0.152,0.152,0.045
257,1,1,1,1,1,1,1,1,1,0.048,0.048,0.048,0.048,0.048,0.045
258,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.057
259,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.067
260,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.063
261,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.059
262,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.054
263,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.054
264,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.069
265,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.083
266,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.093
267,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.077
268,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.056
269,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.053
270,1,1,1,1,1,1,1,1,1,0.014,0.014,0.014,0.014,0.014,0.044
271,1,1,1,1,1,1,1,1,1,0.079,0.079,0.079,0.079,0.079,0.025
272,1,1,1,1,1,1,1,1,1,0.165,0.165,0.165,0.165,0.165,0.015
273,1,1,1,1,1,1,1,1,1,0.248,0.248,0.248,0.248,0.248,0.015
274,1,1,1,1,1,1,1,1,1,0.321,0.321,0.321,0.321,0.321,0.012
275,1,1,1,1,1,1,1,1,1,0.387,0.387,0.387,0.387,0.387,0.011
276,1,1,1,1,1,1,1,1,1,0.447,0.447,0.447,0.447,0.447,0.016
277,1,1,1,1,1,1,1,1,1,0.443,0.443,0.443,0.443,0.443,0.028
278,1,1,1,1,1,1,1,1,1,0.386,0.386,0.386,0.386,0.386,0.041
279,1,1,1,1,1,1,1,1,1,0.298,0.298,0.298,0.298,0.298,0.049
280,1,1,1,1,1,1,1,1,1,0.17,0.17,0.17,0.17,0.17,0.047
281,1,1,1,1,1,1,1,1,1,0.054,0.054,0.054,0.054,0.054,0.045
282,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.054
283,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.068
284,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.07
285,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.067
286,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.068
287,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.071
288,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.071
289,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.062
290,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.053
291,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.045
292,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.038
293,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.032
294,1,1,1,1,1,1,1,1,1,0.012,0.012,0.012,0.012,0.012,0.026
295,1,1,1,1,1,1,1,1,1,0.071,0.071,0.071,0.071,0.071,0.016
296,1,1,1,1,1,1,1,1,1,0.153,0.153,0.153,0.153,0.153,0.008
297,1,1,1,1,1,1,1,1,1,0.226,0.226,0.226,0.226,0.226,0.006
298,1,1,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.006
299,1,1,1,1,1,1,1,1,1,0.362,0.362,0.362,0.362,0.362,0.01
300,1,1,1,1,1,1,1,1,1,0.384,0.384,0.384,0.384,0.384,0.016
301,1,1,1,1,1,1,1,1,1,0.361,0.361,0.361,0.361,0.361,0.019
302,1,1,1,1,1,1,1,1,1,0.292,0.292,0.292,0.292,0.292,0.017
303,1,1,1,1,1,1,1,1,1,0.194,0.194,0.194,0.194,0.194,0.011
304,1,1,1,1,1,1,1,1,1,0.102,0.102,0.102,0.102,0.102,0.006
305,1,1,1,1,1,1,1,1,1,0.031,0.031,0.031,0.031,0.031,0.005
306,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.007
307,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.015
308,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.032
309,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.052
310,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.081
311,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.097
312,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.095
313,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.08
314,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.068
315,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.06
316,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.053
317,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.049
318,1,1,1,1,1,1,1,1,1,0.026,0.026,0.026,0.026,0.026,0.045
319,1,1,1,1,1,1,1,1,1,0.152,0.152,0.152,0.152,0.152,0.026
320,1,1,1,1,1,1,1,1,1,0.292,0.292,0.292,0.292,0.292,0.016
321,1,1,1,1,1,1,1,1,1,0.428,0.428,0.428,0.428,0.428,0.013
322,1,1,1,1,1,1,1,1,1,0.527,0.527,0.527,0.527,0.527,0.01
323,1,1,1,1,1,1,1,1,1,0.586,0.586,0.586,0.586,0.586,0.008
324,1,1,1,1,1,1,1,1,1,0.598,0.598,0.598,0.598,0.598,0.007
325,1,1,1,1,1,1,1,1,1,0.562,0.562,0.562,0.562,0.562,0.008
326,1,1,1,1,1,1,1,1,1,0.485,0.485,0.485,0.485,0.485,0.01
327,1,1,1,1,1,1,1,1,1,0.366,0.366,0.366,0.366,0.366,0.011
328,1,1,1,1,1,1,1,1,1,0.21,0.21,0.21,0.21,0.21,0.011
329,1,1,1,1,1,1,1,1,1,0.068,0.068,0.068,0.068,0.068,0.011
330,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.014
331,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.011
332,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.005
333,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.002
334,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.002
335,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.004
336,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.008
337,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.015
338,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.024
339,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.03
340,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.033
341,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.027
