R_ID,Zone,System,Province,Village,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
26,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,1951.101112,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,2,1,3440000,0,0,43000,0,0.22,1951.101112,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
27,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,2214.14673,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,2.5,1,3440000,0,0,43000,0,0.22,2214.14673,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
28,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,1511.156294,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,3,1,3440000,0,0,43000,0,0.22,1511.156294,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
29,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,190340.6643,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,1,1,560000,0,0,10000,0,0,190340.6643,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
30,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,42486.75073,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,1.5,1,560000,0,0,10000,0,0,42486.75073,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
31,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,4678.034255,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,2,1,560000,0,0,10000,0,0,4678.034255,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
32,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,345.8971,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,2.5,1,560000,0,0,10000,0,0,345.8971,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
33,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,3622.16706,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,3,1,560000,0,0,10000,0,0,3622.16706,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
34,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_unit_4,,coal_captive,3360,0,operating,2023,,nickel,,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,indonesia_wanjia_ferro_nickel_co_ltd,indonesia_wanjia_ferro_nickel_co_ltd,china,tsingshan_holding_group_,tsingshan_holding_group,china_energy_construction_group_zhejiang_thermal_power_construction_co_ltd,owner_financier_epc,indonesian_morowali_industrial_park_imip,supercritical,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,4,-1,1360000,0,0,40000,0,0.12,3360,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
35,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_geothermal,,geothermal,104234.6338,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,1,1,3440000,0,0,43000,0,0.22,104234.6338,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
36,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_geothermal,,geothermal,13530.97101,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,1.5,1,3440000,0,0,43000,0,0.22,13530.97101,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
37,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_geothermal,,geothermal,1127.479766,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,2,1,3440000,0,0,43000,0,0.22,1127.479766,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
