R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
27,2,sumatera,north_sumatra,3,pt_musim_mas_geothermal,,geothermal,89198.02442,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,3440000,0,0,43000,0,0.22,89198.02442,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
28,2,sumatera,north_sumatra,3,pt_musim_mas_geothermal,,geothermal,9225.972985,0,,,,,,,,,,,,,,,,,,,,,,,2,1,3440000,0,0,43000,0,0.22,9225.972985,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
29,2,sumatera,north_sumatra,3,pt_musim_mas_geothermal,,geothermal,5402.45157,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,3440000,0,0,43000,0,0.22,5402.45157,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
30,2,sumatera,north_sumatra,3,pt_musim_mas_geothermal,,geothermal,1223.194529,0,,,,,,,,,,,,,,,,,,,,,,,3,1,3440000,0,0,43000,0,0.22,1223.194529,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
31,2,sumatera,north_sumatra,3,pt_musim_mas_solar,,solar,20489.91099,0,,,,,,,,,,,,,,,,,,,,,,,1,1,560000,0,0,10000,0,0,20489.91099,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
32,2,sumatera,north_sumatra,3,pt_musim_mas_solar,,solar,47349.71968,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,560000,0,0,10000,0,0,47349.71968,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
33,2,sumatera,north_sumatra,3,pt_musim_mas_solar,,solar,4108.11583,0,,,,,,,,,,,,,,,,,,,,,,,2,1,560000,0,0,10000,0,0,4108.11583,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
34,2,sumatera,north_sumatra,3,pt_musim_mas_solar,,solar,125.995164,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,560000,0,0,10000,0,0,125.995164,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
35,2,sumatera,north_sumatra,3,pt_musim_mas_solar,,solar,392.345506,0,,,,,,,,,,,,,,,,,,,,,,,3,1,560000,0,0,10000,0,0,392.345506,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
36,2,sumatera,north_sumatra,4,pt_sintong_abadi,,coal_captive,12,0,operating,,,crude_palm_oil,,,pt_sintong_abadi,pt_sintong_abadi,indonesia,,,,,no,,,,,2.92451485,99.7070231,,,4,-1,1600000,0,0,43900,0,0.12,12,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
