R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
42,7,sumatera,south_sumatera,pltu_keramasan_hsd,coal,25,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,25,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
43,7,sumatera,south_sumatera,pltgu_keramasan,ccgt,80,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,80,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,0
44,7,sumatera,south_sumatera,pltg_jakabaring_cng,gas,50,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
45,7,sumatera,south_sumatera,pltg_keramasan,gas,62.85,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,62.85,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
46,7,sumatera,south_sumatera,pltu_keban_agung,coal,225,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,225,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
47,7,sumatera,south_sumatera,pltp_lumut_balai_i,geothermal,55,0,,operating,pln,,-1,3440000,0,0,43000,0,0.22,55,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
48,8,sumatera,bengkulu,plta_air_putih,hydropower,21,0,,operating,pln,,-1,2200000,0,0,40200,0,0.48,21,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
49,8,sumatera,bengkulu,plta_tes,hydropower,18.92,0,,operating,pln,,-1,2200000,0,0,40200,0,0.48,18.92,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
50,8,sumatera,bengkulu,plta_musi,hydropower,213,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,213,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
51,8,sumatera,bengkulu,pltu_bengkulu_1,coal,100,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,100,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
52,8,sumatera,bengkulu,pltu_bengkulu_2,coal,10,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,10,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
53,9,sumatera,lampung,pltd_teluk_betung,diesel,11.8,0,,operating,pln,,-1,800000,0,0,8000,0,6,11.8,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
54,9,sumatera,lampung,pltd_tarahan,diesel,16,0,,operating,pln,,-1,800000,0,0,8000,0,6,16,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
55,9,sumatera,lampung,pltg_mpp_lampung,gas,100,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
