Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4,demand_ip5,demand_ip6,demand_ip7,demand_ip8,demand_ip9,demand_ip10,demand_ip11,demand_ip12,demand_ip13,demand_ip14,demand_ip15,demand_ip16,demand_ip17,demand_ip18,demand_ip19
,,,,,,,,,129,6,16,9,2023-06-16T07:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,130,6,16,10,2023-06-16T08:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,131,6,16,11,2023-06-16T09:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,132,6,16,12,2023-06-16T10:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,133,6,16,13,2023-06-16T11:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,134,6,16,14,2023-06-16T12:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,135,6,16,15,2023-06-16T13:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,136,6,16,16,2023-06-16T14:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,137,6,16,17,2023-06-16T15:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,138,6,16,18,2023-06-16T16:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,139,6,16,19,2023-06-16T17:50:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,140,6,16,20,2023-06-16T18:50:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,141,6,16,21,2023-06-16T19:50:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,142,6,16,22,2023-06-16T20:50:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,143,6,16,23,2023-06-16T21:50:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,144,6,16,24,2023-06-16T22:50:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,145,6,17,1,2023-06-16T23:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,146,6,17,2,2023-06-17T00:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,147,6,17,3,2023-06-17T01:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,148,6,17,4,2023-06-17T02:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,149,6,17,5,2023-06-17T03:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,150,6,17,6,2023-06-17T04:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,151,6,17,7,2023-06-17T05:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,152,6,17,8,2023-06-17T06:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,153,6,17,9,2023-06-17T07:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
