Village,solar_MW,solar_built_MW,solar_GWh,battery_MW,battery_built_MW,battery_MWh,battery_built_MWh,Connected,Total_Import_MWh,Total_Export_MWh
20,0.1221813824282035,0.1221813824282035,0.1896557188116691,0.0487603612179116,0.0487603612179116,0.2711639150209546,0.2711639150209546,0,0.0,0.0
21,0.032995604486646,0.032995604486646,0.052059986322765,0.0643593181317541,0.0643593181317541,0.2459299551966771,0.2459299551966771,1,631.1335864212666,8.029211551763836
22,0.1580431148905196,0.1580431148905196,0.2468141940502601,0.06640947305164,0.06640947305164,0.2885147467956725,0.2885147467956725,1,248.89725528989575,11.01837694962368
23,0.0,0.0,0.0,0.0027290944540727,0.0027290944540727,0.0029664070152965,0.0029664070152965,1,853.9191920216412,395.8766623757068
24,0.1523084301876033,0.1523084301876033,0.2419055396381936,0.0545866526206489,0.0545866526206489,0.3132210389972952,0.3132210389972952,1,47.45962665654061,5.548195144528127
25,0.1375909494769641,0.1375909494769641,0.2094102776779051,0.0538390869875806,0.0538390869875806,0.2993880540752281,0.2993880540752281,0,0.0,0.0
26,0.1754599193785937,0.1754599193785937,0.275256257723555,0.0757355011977589,0.0757355011977589,0.3263410888308282,0.3263410888308282,1,300.8611528778484,14.216638961314606
27,0.0118263043218216,0.0118263043218216,0.0181517391908477,0.0444324356240923,0.0444324356240923,0.1612249706442617,0.1612249706442617,1,504.0353965121824,13.833339727731913
28,0.1198427868365465,0.1198427868365465,0.1867984724709787,0.0513970553616156,0.0513970553616156,0.221471598907053,0.221471598907053,1,200.82116026558356,6.759617564973407
29,0.1117439567048597,0.1117439567048597,0.1765078486681217,0.0442236648106155,0.0442236648106155,0.2181211236196903,0.2181211236196903,1,101.89904981612167,4.538279447862711
30,0.1501266821295537,0.1501266821295537,0.2173109062521818,0.0558676625030416,0.0558676625030416,0.3106802618794246,0.3106802618794246,0,0.0,0.0
31,0.1423262102040754,0.1423262102040754,0.2147158825856523,0.0586611759124412,0.0586611759124412,0.2567537208568629,0.2567537208568629,1,215.01993807107348,6.495791744368304
32,0.0315653709860728,0.0315653709860728,0.048589033256741,0.0600687913923982,0.0600687913923982,0.2295340379527591,0.2295340379527591,1,588.1045290190507,6.360898147978094
33,0.124077193790593,0.124077193790593,0.191541810447547,0.0515361022667283,0.0515361022667283,0.2238987742109994,0.2238987742109994,1,190.819623462875,6.7443171979486
34,0.123622646280974,0.123622646280974,0.193944523259382,0.0490679999999999,0.0490679999999999,0.2392657516496627,0.2392657516496627,1,117.66417464505844,6.109378572116259
35,0.1048184277117828,0.1048184277117828,0.1636402233382259,0.044318559718034,0.044318559718034,0.1929837562450175,0.1929837562450175,1,155.3651853678503,7.082453067622458
36,0.1209912475489097,0.1209912475489097,0.186431191585656,0.0473276419955245,0.0473276419955245,0.2614438924051827,0.2614438924051827,1,3.8744437177027367,1.2501278583434638
37,0.104662394963936,0.104662394963936,0.1619793426236049,0.0435813041307703,0.0435813041307703,0.1893357702626753,0.1893357702626753,1,163.25511126161683,7.58446663051442
38,0.0,0.0,0.0,0.018895,0.018895,0.0410760869565217,0.0410760869565217,1,968.45389776971,333.5955562877915
39,0.0,0.0,0.0,0.0206379999999999,0.0206379999999999,0.0690565217391304,0.0690565217391304,1,328.46828344968213,41.638809525866655
40,0.0833672313213354,0.0833672313213354,0.1283983747884796,0.0357555243442227,0.0357555243442227,0.1555374764697172,0.1555374764697172,1,137.25434461285667,5.061574055652434
41,0.0885614941793673,0.0885614941793673,0.1385544133628736,0.0381226423928845,0.0381226423928845,0.1642703919260508,0.1642703919260508,1,149.50576682703465,5.865681106976046
42,0.0,0.0,0.0,0.0103749999999999,0.0103749999999999,0.0225543478260869,0.0225543478260869,1,461.8015105655331,152.0511334058881
43,0.0561961642198693,0.0561961642198693,0.0885752420219911,0.0558930925384086,0.0558930925384086,0.2199284682815752,0.2199284682815752,1,469.8053223876319,6.1998265446126375
44,0.1232107180594412,0.1232107180594412,0.1933297528909925,0.0576779999999999,0.0576779999999999,0.2470467227798969,0.2470467227798969,1,250.07164360199664,6.241971514460273
45,0.1121316914568521,0.1121316914568521,0.1749429312165569,0.0473801710053102,0.0473801710053102,0.2063181847030071,0.2063181847030071,1,166.36878492532864,7.830092217882561
