R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
38,1,maluku,maluku,plta_wai_tala,hydropower,54,0,2029,Plan,PLN,,1,2200000,0,0,40200,0,0.48,54,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
39,1,maluku,maluku,pltbio_seram,biomass,6,0,2023,Plan,IPP,,1,1820000,0,0,43800,0,2.8,6,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1,,,,
40,1,maluku,maluku,pltmg_seram_utara,gas,20,0,2025,Plan,PLN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
41,1,maluku,maluku,pltbio_langgur_2,biomass,10,0,2024,Plan,IPP,,1,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1,,,,
42,1,maluku,maluku,maluku_solar_potential_ruen,solar,2020,0,,potential,,,1,560000,0,0,10000,0,0,2020,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
43,1,maluku,maluku,maluku_wind_potential_ruen,wind,3188,0,,potential,,,1,1280000,0,0,51000,0,0,3188,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
44,1,maluku,maluku,maluku_geothermal_potential_ruen,geothermal,220,0,,potential,,,1,3440000,0,0,43000,0,0.22,220,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
45,1,maluku,maluku,maluku_hydropower_potential_ruen,hydropower,430,0,,potential,,,1,2200000,0,0,40200,0,0.48,430,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
46,1,maluku,maluku,maluku_hydropower_mini_potential_ruen,hydropower,190,0,,potential,,,1,2200000,0,0,40200,0,0.48,190,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
47,1,maluku,maluku,maluku_biomass_potential_ruen,biomass,23.6,0,,potential,,,1,1820000,0,0,43800,0,2.8,23.6,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1,,,,
48,1,maluku,maluku,maluku_biogas_potential_ruen,biogas,9,0,,potential,,,1,2150000,0,0,89200,0,0.1,9,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,,
49,1,maluku,maluku,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
50,1,maluku,maluku,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
51,1,maluku,maluku,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
52,1,maluku,maluku,gas_candidate_4,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
53,1,maluku,maluku,ccgt_candidate_1,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,0,0,0,1,,,,
