R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
124,3,sulawesi,central_sulawesi,pltp_marana,geothermal,28,0,post_2030,plan,jetp,,1,3440000,0,0,43000,0,0.22,28,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,,,0,
125,5,sulawesi,southeast_sulawesi,pltp_lainea,geothermal,66,0,post_2030,plan,jetp,,1,3440000,0,0,43000,0,0.22,66,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,,,0,
126,1,sulawesi,north_sulawesi,pltp_sipaholon_riaria,geothermal,35,0,post_2030,plan,jetp,,1,3440000,0,0,43000,0,0.22,35,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,,,0,
127,3,sulawesi,central_sulawesi,pltp_borapulu,geothermal,123,0,post_2030,plan,jetp,,1,3440000,0,0,43000,0,0.22,123,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,,,0,
128,2,sulawesi,gorontalo,pltp_pentadio,geothermal,25,0,post_2030,plan,jetp,,1,3440000,0,0,43000,0,0.22,25,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,,,0,
129,2,sulawesi,gorontalo,pltp_suwawa,geothermal,20,0,post_2030,plan,jetp,,1,3440000,0,0,43000,0,0.22,20,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,,,0,
130,2,sulawesi,gorontalo,pltm_riorita,hydropower_mini,1.3,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,1.3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
131,2,sulawesi,gorontalo,pltm_riorita,hydropower_mini,1.3,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,1.3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
132,1,sulawesi,north_sulawesi,plta_sulbagut_kuota_tersebar,hydropower,70,0,2027,plan,jetp,,1,2000000,0,0,36200,0,0.62,70,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
133,1,sulawesi,north_sulawesi,plta_sulbagut_kuota_tersebar,hydropower,60,0,2025,plan,jetp,,1,2000000,0,0,36200,0,0.62,60,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
